voxel_id,group,baseline_rank,hard_rank,scored_rank,voxel_pcd_path,neighborhood_pcd_path
0_-10_6,scored_only_relabeled,66,33,9,groups/scored_only_relabeled/voxels/0_-10_6/voxel.pcd,groups/scored_only_relabeled/voxels/0_-10_6/neighborhood_radius2.pcd
5_4_4,scored_only_relabeled,113,61,26,groups/scored_only_relabeled/voxels/5_4_4/voxel.pcd,groups/scored_only_relabeled/voxels/5_4_4/neighborhood_radius2.pcd
-2_-8_4,scored_only_relabeled,,127,60,groups/scored_only_relabeled/voxels/-2_-8_4/voxel.pcd,groups/scored_only_relabeled/voxels/-2_-8_4/neighborhood_radius2.pcd
6_7_-2,scored_only_relabeled,,181,88,groups/scored_only_relabeled/voxels/6_7_-2/voxel.pcd,groups/scored_only_relabeled/voxels/6_7_-2/neighborhood_radius2.pcd
1_-10_4,scored_only_relabeled,,,135,groups/scored_only_relabeled/voxels/1_-10_4/voxel.pcd,groups/scored_only_relabeled/voxels/1_-10_4/neighborhood_radius2.pcd
