vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
3,2,-2,3.500000,2.500000,-1.500000,246,planar,0.090187,0.084732,0.000022,0.060488,0.939269,0.000243,0.999757,0.005513,1.990700,8.555663,0.387575,-6.564963,0.299515,0.888441,0.778300,0.588926
3,2,4,3.500000,2.500000,4.500000,171,planar,0.093932,0.026442,0.006153,0.718496,0.215997,0.065506,0.934494,0.024816,2.796777,6.774872,0.329162,-3.978095,0.303488,0.928505,1.193307,0.625017
3,3,-2,3.500000,3.500000,-1.500000,172,planar,0.096330,0.082592,0.000024,0.142613,0.857135,0.000252,0.999748,0.005778,1.989800,7.235737,0.393465,-5.245937,0.275835,0.732680,0.798843,0.456845
3,3,4,3.500000,3.500000,4.500000,135,planar,0.083696,0.067065,0.007254,0.198716,0.714608,0.086676,0.913324,0.034404,2.831227,7.142189,0.373110,-4.310962,0.294522,0.819744,1.111181,0.525222
3,4,-2,3.500000,4.500000,-1.500000,107,planar,0.100493,0.069028,0.000042,0.313106,0.686474,0.000421,0.999579,0.006643,1.997574,6.347290,0.378530,-4.349716,0.262756,0.642294,0.825349,0.379538
3,4,3,3.500000,4.500000,3.500000,25,linear,0.078008,0.001093,0.000291,0.985987,0.010279,0.003734,0.996266,0.002918,1.665759,194.534582,0.260173,-192.868823,0.251460,12.000362,1.134435,11.748902
3,4,4,3.500000,4.500000,4.500000,145,planar,0.103334,0.053419,0.009055,0.483051,0.429320,0.087629,0.912371,0.036836,2.852776,8.463019,0.386554,-5.610244,0.277162,0.853926,1.120449,0.576764
3,5,-2,3.500000,5.500000,-1.500000,73,planar,0.101325,0.053622,0.000054,0.470788,0.528680,0.000532,0.999468,0.006642,1.995373,4.983394,0.380507,-2.988021,0.204933,0.475007,1.038808,0.270074
3,5,4,3.500000,5.500000,4.500000,54,planar,0.095050,0.054984,0.005070,0.421518,0.525139,0.053344,0.946656,0.029813,2.755009,14.690285,0.370290,-11.935276,0.211895,1.596399,1.131229,1.384504
3,6,-2,3.500000,6.500000,-1.500000,50,planar,0.138122,0.044007,0.000042,0.681389,0.318308,0.000303,0.999697,0.006337,1.970563,3.980270,0.393861,-2.009707,0.236828,0.352475,0.899779,0.115647
3,6,4,3.500000,6.500000,4.500000,60,planar,0.111853,0.057210,0.004026,0.488530,0.475473,0.035997,0.964003,0.029536,2.728759,13.451813,0.394040,-10.723054,0.218316,1.296065,1.033693,1.077749
3,7,-2,3.500000,7.500000,-1.500000,39,linear,0.083420,0.001611,0.000001,0.980692,0.019300,0.000008,0.999992,0.000448,1.564603,20.448126,0.252454,-18.883523,0.379605,2.589377,0.849615,2.209771
3,7,4,3.500000,7.500000,4.500000,31,planar,0.124594,0.031827,0.003047,0.744557,0.230988,0.024454,0.975546,0.022946,2.626906,10.850479,0.364599,-8.223573,0.281717,1.336146,1.084515,1.054429
3,8,-2,3.500000,8.500000,-1.500000,25,linear,0.096463,0.002440,0.000001,0.974709,0.025283,0.000008,0.999992,0.000555,1.631746,9.140932,0.250613,-7.509185,0.387104,1.332371,0.769446,0.945266
3,8,3,3.500000,8.500000,3.500000,36,linear,0.087480,0.000379,0.000002,0.995673,0.004301,0.000027,0.999973,0.000426,1.230471,264.156287,0.255151,-262.925817,0.363944,10.423110,0.703875,10.059166
3,10,-2,3.500000,10.500000,-1.500000,15,linear,0.184667,0.003449,0.000000,0.981324,0.018675,0.000001,0.999999,0.000451,1.651983,3.540241,0.406265,-1.888258,0.258496,0.225550,1.069785,-0.032947
3,11,3,3.500000,11.500000,3.500000,16,linear,0.094447,0.000407,0.000001,0.995696,0.004297,0.000007,0.999993,0.000297,1.199280,148.165010,0.264559,-146.965730,0.340266,6.748051,0.749210,6.407785
3,11,4,3.500000,11.500000,4.500000,20,linear,0.053842,0.000761,0.000000,0.985869,0.014129,0.000002,0.999998,0.000159,1.343250,135.602210,0.198102,-134.258960,0.352968,8.491772,0.829975,8.138804
3,15,-2,3.500000,15.500000,-1.500000,21,linear,0.088599,0.000104,0.000000,0.998828,0.001171,0.000000,1.000000,0.000073,1.031350,156.981728,0.252535,-155.950378,0.392982,8.367521,0.622029,7.974539
3,15,-1,3.500000,15.500000,-0.500000,63,planar,0.098899,0.086242,0.000136,0.127982,0.870642,0.001376,0.998624,0.010508,2.064980,99.105822,0.400887,-97.040842,0.354614,5.721377,1.106937,5.366763
3,15,0,3.500000,15.500000,0.500000,43,planar,0.091109,0.030885,0.000135,0.661006,0.337516,0.001478,0.998522,0.007236,2.028174,95.701126,0.325686,-93.672952,0.322630,5.660242,1.322630,5.337612
3,15,1,3.500000,15.500000,1.500000,59,planar,0.101873,0.084088,0.000076,0.174584,0.824668,0.000748,0.999252,0.008673,2.014571,108.963244,0.402699,-106.948674,0.314168,5.882917,1.049789,5.568749
3,15,2,3.500000,15.500000,2.500000,29,linear,0.109332,0.018512,0.000091,0.830678,0.168489,0.000833,0.999167,0.005690,1.953355,139.241228,0.321074,-137.287873,0.370038,7.088005,1.108484,6.717967
3,15,3,3.500000,15.500000,3.500000,33,linear,0.187518,0.032172,0.008800,0.828434,0.124639,0.046927,0.953073,0.037583,2.775763,0.772766,0.454193,2.002997,0.457707,0.224237,1.449828,-0.233469
4,-15,4,4.500000,-14.500000,4.500000,16,linear,0.064067,0.000310,0.000000,0.995167,0.004832,0.000001,0.999999,0.000107,1.144789,219.080599,0.217533,-217.935810,0.347812,10.449681,0.717782,10.101870
4,-13,4,4.500000,-12.500000,4.500000,16,planar,0.112586,0.054562,0.007334,0.515370,0.419488,0.065142,0.934858,0.035583,2.674883,2.781450,0.371189,-0.106566,0.354060,0.272228,1.090036,-0.081832
4,-12,-1,4.500000,-11.500000,-0.500000,23,linear,0.111228,0.009618,0.005335,0.913528,0.038504,0.047968,0.952032,0.017871,2.619976,32.061828,0.313006,-29.441852,0.372754,3.312777,1.208832,2.940023
4,-9,-2,4.500000,-8.500000,-1.500000,29,linear,0.163895,0.003300,0.000001,0.979865,0.020131,0.000005,0.999995,0.000738,1.701361,64.653172,0.350146,-62.951812,0.376475,4.326442,1.000589,3.949967
4,-9,4,4.500000,-8.500000,4.500000,41,linear,0.076050,0.016372,0.000431,0.784714,0.209618,0.005668,0.994332,0.008127,2.176266,148.962714,0.270995,-146.786448,0.354662,8.382019,0.942655,8.027357
4,-8,-1,4.500000,-7.500000,-0.500000,68,planar,0.100911,0.052069,0.000068,0.484006,0.515319,0.000675,0.999325,0.007100,2.005201,211.616097,0.361039,-209.610896,0.306031,8.557150,0.976264,8.251120
4,-8,0,4.500000,-7.500000,0.500000,70,planar,0.083645,0.057644,0.000122,0.310848,0.687698,0.001454,0.998546,0.008371,2.049878,173.487449,0.351769,-171.437571,0.246021,7.828058,0.984805,7.582037
4,-8,1,4.500000,-7.500000,1.500000,30,linear,0.068904,0.008250,0.000050,0.880269,0.119011,0.000720,0.999280,0.003044,1.860699,137.893958,0.244523,-136.033259,0.190508,7.783247,1.011433,7.592739
4,-7,-2,4.500000,-6.500000,-1.500000,50,planar,0.124266,0.056308,0.002153,0.546876,0.435799,0.017325,0.982675,0.024697,2.604246,18.718345,0.364385,-16.114099,0.309414,1.973292,0.969791,1.663878
4,-7,-1,4.500000,-6.500000,-0.500000,64,planar,0.087077,0.023350,0.000202,0.731850,0.265836,0.002314,0.997686,0.007427,2.082236,182.847747,0.303515,-180.765511,0.305712,8.576040,1.058638,8.270328
4,-7,0,4.500000,-6.500000,0.500000,69,planar,0.081537,0.026201,0.000222,0.678656,0.318617,0.002727,0.997273,0.007803,2.102130,148.488283,0.302989,-146.386153,0.272278,7.637839,1.036562,7.365561
4,-7,1,4.500000,-6.500000,1.500000,15,linear,0.029777,0.003129,0.000243,0.894921,0.096916,0.008163,0.991837,0.002829,1.792795,111.497820,0.157959,-109.705025,0.378225,7.311024,0.992046,6.932799
4,-6,-2,4.500000,-5.500000,-1.500000,61,linear,0.141156,0.026063,0.000066,0.815361,0.184173,0.000466,0.999534,0.006230,1.984621,42.192718,0.354622,-40.208097,0.472943,3.358025,1.060891,2.885082
4,-5,-2,4.500000,-4.500000,-1.500000,76,planar,0.111057,0.043907,0.000052,0.604645,0.394882,0.000472,0.999528,0.006348,1.992094,39.796796,0.356120,-37.804702,0.287285,3.131410,0.777282,2.844125
4,-5,4,4.500000,-4.500000,4.500000,40,planar,0.083689,0.031963,0.001283,0.618072,0.366603,0.015325,0.984675,0.015082,2.456760,14.585418,0.315257,-12.128658,0.291215,1.315520,0.926992,1.024305
4,-4,-2,4.500000,-3.500000,-1.500000,106,planar,0.115729,0.067921,0.000043,0.413098,0.586534,0.000368,0.999632,0.006942,1.998717,35.456916,0.389112,-33.458198,0.290587,2.861882,0.815829,2.571295
4,-4,-1,4.500000,-3.500000,-0.500000,50,planar,0.024445,0.011721,0.000694,0.520494,0.451098,0.028409,0.971591,0.005838,2.246085,18.445584,0.175604,-16.199499,0.326949,2.714240,1.052416,2.387291
4,-3,-2,4.500000,-2.500000,-1.500000,177,planar,0.075663,0.065784,0.005366,0.130559,0.798519,0.070922,0.929078,0.029892,2.798999,7.663890,0.355990,-4.864892,0.282077,0.220471,0.919258,-0.061606
4,-3,-1,4.500000,-2.500000,-0.500000,193,volumetric,0.078376,0.038660,0.033571,0.506734,0.064938,0.428328,0.571672,0.046681,2.918063,0.132817,0.369032,2.785246,0.301426,0.797570,1.057500,0.496144
4,-2,-2,4.500000,-1.500000,-1.500000,135,planar,0.064282,0.038267,0.005550,0.404703,0.508952,0.086344,0.913656,0.023901,2.785762,8.803026,0.301554,-6.017263,0.288330,0.457487,0.933239,0.169157
4,-2,-1,4.500000,-1.500000,-0.500000,168,volumetric,0.067534,0.053848,0.033408,0.202658,0.302666,0.494676,0.505324,0.049528,2.920624,0.525393,0.360451,2.395232,0.312850,0.590249,0.938642,0.277399
4,-2,4,4.500000,-1.500000,4.500000,43,linear,0.072738,0.013902,0.002297,0.808882,0.159533,0.031585,0.968415,0.013244,2.555229,9.956472,0.256167,-7.401244,0.446611,1.621005,1.180364,1.174395
4,-1,-1,4.500000,-0.500000,-0.500000,310,corner_like,0.135941,0.044847,0.025159,0.670098,0.144830,0.185072,0.814928,0.053529,2.923198,0.321547,0.423296,2.601651,0.265892,0.607592,1.028921,0.341700
4,0,-2,4.500000,0.500000,-1.500000,105,planar,0.068299,0.019211,0.000025,0.718717,0.280912,0.000371,0.999629,0.003214,1.942101,28.353405,0.270443,-26.411304,0.305838,2.826842,0.987117,2.521004
4,0,-1,4.500000,0.500000,-0.500000,117,corner_like,0.027497,0.022440,0.006313,0.183916,0.586476,0.229607,0.770393,0.015734,2.761702,26.074854,0.211204,-23.313152,0.342791,2.418919,0.994067,2.076128
4,0,4,4.500000,0.500000,4.500000,19,planar,0.128380,0.050967,0.004757,0.603001,0.359946,0.037053,0.962947,0.031456,2.651989,3.517098,0.395217,-0.865109,0.383228,0.292739,1.079464,-0.090489
4,1,-2,4.500000,1.500000,-1.500000,177,planar,0.086308,0.080482,0.000036,0.067505,0.932080,0.000415,0.999585,0.006287,1.999460,21.584941,0.379932,-19.585481,0.284416,2.008496,0.794057,1.724080
4,1,3,4.500000,1.500000,3.500000,53,linear,0.056506,0.006003,0.000308,0.893763,0.100793,0.005444,0.994556,0.004708,2.035906,176.792628,0.224864,-174.756722,0.325797,8.728819,1.049924,8.403022
4,1,4,4.500000,1.500000,4.500000,26,planar,0.098044,0.041688,0.002918,0.574798,0.395442,0.029760,0.970240,0.022847,2.606951,22.502563,0.360011,-19.895612,0.379398,2.191604,1.209695,1.812207
4,2,-2,4.500000,2.500000,-1.500000,137,planar,0.094159,0.057724,0.000018,0.386952,0.612851,0.000196,0.999804,0.004649,1.976087,20.302633,0.365703,-18.326546,0.216362,1.912768,1.005887,1.696407
4,3,-2,4.500000,3.500000,-1.500000,109,planar,0.091466,0.058338,0.000039,0.362193,0.637376,0.000431,0.999569,0.005949,1.991857,18.871304,0.372680,-16.879447,0.179675,1.841987,0.941128,1.662313
4,4,-2,4.500000,4.500000,-1.500000,81,planar,0.096888,0.055538,0.000056,0.426785,0.572642,0.000573,0.999427,0.006685,1.999707,16.899354,0.381691,-14.899648,0.224751,1.693779,1.153164,1.469028
4,4,4,4.500000,4.500000,4.500000,67,planar,0.075978,0.047482,0.006761,0.375052,0.535961,0.088986,0.911014,0.029001,2.795182,7.003480,0.328689,-4.208298,0.297610,0.879680,1.108450,0.582070
4,5,-2,4.500000,5.500000,-1.500000,52,linear,0.140325,0.034617,0.000070,0.753309,0.246192,0.000500,0.999500,0.006984,1.991326,14.806558,0.400389,-12.815232,0.211479,1.550581,0.999478,1.339101
4,6,-2,4.500000,6.500000,-1.500000,45,linear,0.103789,0.001565,0.000001,0.984918,0.015075,0.000007,0.999993,0.000489,1.565775,21.845674,0.281287,-20.279899,0.308086,2.608019,0.838108,2.299934
4,7,-2,4.500000,7.500000,-1.500000,32,linear,0.110323,0.004466,0.000001,0.959517,0.040476,0.000007,0.999993,0.000721,1.752310,22.715731,0.288475,-20.963421,0.366773,2.358296,0.822033,1.991523
4,15,-2,4.500000,15.500000,-1.500000,20,linear,0.092612,0.000300,0.000000,0.996758,0.003242,0.000000,1.000000,0.000066,1.159234,183.191269,0.257084,-182.032035,0.408759,9.612808,0.704867,9.204049
4,15,-1,4.500000,15.500000,-0.500000,59,planar,0.103131,0.085450,0.000361,0.171444,0.825060,0.003496,0.996504,0.014701,2.205803,120.240851,0.404587,-118.035049,0.392133,7.095394,1.196145,6.703261
4,15,0,4.500000,15.500000,0.500000,38,planar,0.079963,0.032005,0.000089,0.599747,0.399134,0.001119,0.998881,0.006118,1.985823,137.432541,0.313001,-135.446717,0.327846,6.817250,1.327385,6.489404
4,15,1,4.500000,15.500000,1.500000,48,planar,0.096631,0.063225,0.000362,0.345712,0.650541,0.003747,0.996253,0.013030,2.193353,88.932252,0.368937,-86.738900,0.335856,6.018479,1.081151,5.682623
4,15,3,4.500000,15.500000,3.500000,21,planar,0.056453,0.029356,0.000233,0.480004,0.515871,0.004125,0.995875,0.007281,2.036701,73.473946,0.283089,-71.437245,0.301598,5.153451,1.291984,4.851853
5,-13,1,5.500000,-12.500000,1.500000,16,planar,0.025833,0.015874,0.000070,0.385526,0.611760,0.002714,0.997286,0.003063,1.845924,37.736962,0.194939,-35.891038,0.346816,4.194727,1.346816,3.847911
5,-13,3,5.500000,-12.500000,3.500000,19,linear,0.101817,0.025129,0.000248,0.753200,0.244366,0.002434,0.997566,0.008591,2.037402,36.099397,0.322291,-34.061996,0.295049,3.628763,1.060944,3.333714
5,-13,4,5.500000,-12.500000,4.500000,22,planar,0.089801,0.035112,0.002284,0.609006,0.365559,0.025435,0.974565,0.019311,2.536030,6.010929,0.332710,-3.474898,0.280592,1.044420,1.212158,0.763828
5,-12,-1,5.500000,-11.500000,-0.500000,32,planar,0.094863,0.058947,0.000197,0.378614,0.619307,0.002080,0.997920,0.010333,2.070860,43.235555,0.361208,-41.164695,0.259785,3.599065,0.951487,3.339280
5,-12,0,5.500000,-11.500000,0.500000,15,planar,0.104711,0.029360,0.000496,0.719611,0.275653,0.004736,0.995264,0.011509,2.136513,35.612337,0.332054,-33.475824,0.325697,3.801729,1.159319,3.476032
5,-11,-1,5.500000,-10.500000,-0.500000,44,planar,0.107459,0.080445,0.000273,0.251386,0.746070,0.002543,0.997457,0.013319,2.143299,39.393471,0.403617,-37.250172,0.268670,3.488450,0.988036,3.219779
5,-11,0,5.500000,-10.500000,0.500000,21,planar,0.078284,0.028250,0.000420,0.639132,0.355500,0.005368,0.994632,0.009759,2.141980,47.247427,0.295270,-45.105447,0.264709,4.269164,1.058705,4.004455
5,-10,-1,5.500000,-9.500000,-0.500000,46,planar,0.100709,0.073984,0.000096,0.265374,0.733670,0.000956,0.999044,0.008951,2.019740,99.202573,0.390833,-97.182834,0.219489,5.612129,0.899336,5.392640
5,-10,0,5.500000,-9.500000,0.500000,45,planar,0.091407,0.081788,0.000155,0.105232,0.893071,0.001697,0.998303,0.010506,2.064464,126.841412,0.390818,-124.776948,0.199341,6.709065,0.926309,6.509725
5,-9,-2,5.500000,-8.500000,-1.500000,16,linear,0.103090,0.004609,0.000113,0.955289,0.043615,0.001096,0.998904,0.003773,1.794034,206.418178,0.283017,-204.624144,0.385037,9.092309,0.897832,8.707272
