rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,0,-9,3,corner_like,112,2.899168,0.441137,1.290453,0.236981,4.393777
1,5,2,-1,corner_like,333,2.894740,0.368468,1.077849,0.347208,3.993849
2,1,-9,3,corner_like,87,2.745596,0.291562,1.208350,0.309604,3.935904
3,5,6,1,corner_like,128,2.645859,0.146308,1.308508,0.176641,3.924034
4,3,-2,-1,corner_like,267,2.320750,-0.049419,1.650122,0.070781,3.850672
5,5,11,0,volumetric,44,2.736086,0.121456,1.018544,0.114488,3.761597
6,5,7,1,corner_like,78,2.778264,0.122853,1.107787,0.365189,3.643715
7,5,-2,1,corner_like,379,2.481125,0.230351,1.114360,0.328464,3.497373
8,5,1,1,corner_like,380,2.662189,-0.049045,0.876361,0.443118,3.046386
9,2,6,3,corner_like,87,2.392855,-0.051973,1.048281,0.359156,3.030007
10,2,-5,3,corner_like,125,2.272443,-0.151503,1.090005,0.339139,2.871806
11,-3,9,6,corner_like,50,1.696705,-0.381173,1.602816,0.076064,2.842285
12,-1,-9,3,corner_like,79,1.812815,-0.521965,1.759049,0.257940,2.791959
13,3,-7,3,corner_like,60,1.811204,-0.417909,1.682627,0.290727,2.785194
14,3,-1,-1,corner_like,291,1.580807,-0.443580,1.711544,0.151297,2.697475
15,3,-3,-1,corner_like,171,0.510717,-0.031027,1.990577,0.062981,2.407287
16,5,-3,1,corner_like,324,0.944346,-0.275473,1.325657,0.202319,1.792211
17,5,-1,1,corner_like,189,0.062060,0.099396,1.727428,0.144010,1.744874
18,5,-3,-1,corner_like,190,0.258112,-0.114351,1.664670,0.149192,1.659241
19,-3,-9,3,corner_like,66,-0.173748,0.157412,1.535176,0.156252,1.362588
20,5,-11,1,corner_like,38,-1.037092,0.424514,1.697724,0.119422,0.965724
21,5,-2,-1,corner_like,100,-1.335797,0.299412,1.839808,0.135693,0.667729
22,5,-2,2,corner_like,262,0.196598,-0.178714,0.969459,0.418690,0.568654
23,2,-9,3,planar,51,2.834688,-0.112395,-1.908274,0.575372,0.238646
24,1,-7,3,planar,130,2.703398,0.204040,-1.932256,0.836999,0.138183
25,5,4,-1,planar,211,2.875713,0.405983,-2.191331,1.029135,0.061230
26,5,3,1,planar,258,2.804962,0.143599,-2.008595,0.884244,0.055721
27,0,-7,3,planar,163,2.749215,0.264268,-2.048878,0.984593,-0.019987
28,-4,6,-2,linear,37,1.362297,0.062293,-0.591185,0.899989,-0.066584
29,5,10,-1,planar,52,2.345657,-0.112359,-1.716077,0.616062,-0.098840
30,2,-7,3,planar,108,2.394989,-0.075841,-1.795524,0.658586,-0.134962
31,1,-5,3,planar,145,2.747739,0.286596,-2.185576,1.030964,-0.182205
32,3,-4,3,corner_like,89,-2.191902,0.533800,1.729732,0.260218,-0.188589
33,4,-6,-1,corner_like,122,-2.164786,0.161589,1.882984,0.076894,-0.197107
34,1,6,3,planar,75,2.687235,-0.110438,-1.984188,0.924031,-0.331422
35,5,-2,0,planar,312,2.517412,0.146842,-2.138081,0.935924,-0.409751
36,-6,-7,6,linear,16,1.371862,-0.333054,-0.556167,0.895234,-0.412593
37,5,-7,-1,planar,140,2.830461,0.380374,-2.263931,1.374061,-0.427157
38,5,4,1,planar,194,2.385221,-0.154395,-2.042873,0.627209,-0.439255
39,4,9,3,linear,25,1.106877,-0.182667,-0.596860,0.896040,-0.568691
40,-4,5,-2,linear,54,1.520550,-0.534289,-0.743392,0.898707,-0.655838
41,1,7,3,planar,44,2.346416,-0.156111,-1.856164,1.065725,-0.731584
42,-6,-5,-2,linear,33,0.918487,-0.164553,-0.640607,0.899312,-0.785984
43,5,0,0,planar,308,2.262725,-0.077042,-2.058738,0.963829,-0.836884
44,5,2,1,planar,327,2.798840,-0.019431,-2.286145,1.384651,-0.891386
45,5,-6,-1,planar,179,2.670266,-0.094323,-2.311427,1.245273,-0.980758
46,3,4,3,planar,121,1.968160,-0.309340,-1.994629,0.667039,-1.002849
47,1,-4,3,planar,260,2.421450,-0.011800,-2.227452,1.229786,-1.047588
48,-2,9,6,planar,47,1.968133,-0.195027,-2.010548,0.864466,-1.101908
49,-2,-9,3,planar,55,2.072947,-0.397725,-1.996843,0.786944,-1.108565
50,4,-7,1,linear,15,0.376807,-0.175627,-0.512662,0.878100,-1.189582
51,3,5,3,planar,47,0.670281,0.599846,-1.823124,0.648315,-1.201311
52,5,-5,0,planar,164,2.315172,0.011951,-2.251410,1.305662,-1.229949
53,5,-14,0,planar,21,1.661990,0.178849,-1.981411,1.119224,-1.259796
54,5,5,1,planar,146,2.754889,0.201815,-2.523511,1.715047,-1.281854
55,5,-5,1,planar,167,2.031017,-0.386732,-2.036608,0.894112,-1.286436
56,-1,9,6,planar,61,2.164203,-0.143636,-2.203546,1.121505,-1.304484
57,-3,-7,6,planar,42,1.956606,-0.346294,-1.955554,1.019280,-1.364523
58,5,3,-1,planar,263,2.448953,-0.023799,-2.401767,1.418595,-1.395207
59,-4,9,6,planar,30,1.912370,-0.517941,-1.851470,0.942947,-1.399987
60,1,3,3,planar,239,2.597182,0.227489,-2.517477,1.728433,-1.421239
