rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
79,5,5,1,planar,146,2.754889,0.111298,-2.427907,3.430095,-2.991815
80,5,-7,0,planar,128,2.373197,0.091009,-2.209635,3.265246,-3.010676
81,-4,3,-2,planar,136,1.876783,0.343952,-2.197333,3.057193,-3.033792
82,1,3,3,planar,239,2.597182,0.239003,-2.419795,3.456867,-3.040476
83,5,5,-1,planar,156,2.224335,-0.150748,-2.144018,2.974049,-3.044480
84,2,4,3,planar,160,2.325464,0.034988,-2.249845,3.172162,-3.061555
85,5,1,0,planar,395,2.411335,0.017902,-2.429121,3.187547,-3.187431
86,5,5,2,planar,27,0.326411,0.055290,-1.584214,1.990280,-3.192793
87,2,8,3,planar,20,2.144690,-0.459214,-2.119192,2.772159,-3.205875
88,-5,-7,6,planar,20,1.040262,-0.561250,-1.540444,2.154911,-3.216343
89,-3,5,-2,planar,105,1.064146,-0.024043,-1.972245,2.286458,-3.218600
90,5,8,1,planar,54,2.573304,-0.310874,-2.240516,3.305057,-3.283143
91,-2,-11,3,planar,45,-0.469550,-0.268794,-1.215880,1.338880,-3.293104
92,-3,-7,3,planar,75,0.987458,-0.286076,-1.920446,2.244742,-3.463806
93,5,9,0,planar,74,0.174305,-0.230626,-1.541785,1.897980,-3.496086
94,-4,4,-2,planar,106,1.696060,0.277119,-2.252897,3.249171,-3.528890
95,3,-1,3,planar,66,0.519763,-0.240916,-1.634685,2.216763,-3.572602
96,5,1,-1,planar,391,2.201525,0.003665,-2.490204,3.303415,-3.588430
97,5,6,-1,planar,123,1.824357,-0.166839,-2.181931,3.085695,-3.610108
98,1,9,6,linear,38,-2.491197,0.650090,-0.364418,1.413782,-3.619307
99,5,9,2,linear,33,-1.802664,0.519056,-0.626550,1.754366,-3.664523
100,3,9,3,linear,37,-1.932718,0.422112,-0.449071,1.758394,-3.718071
101,5,-7,2,linear,57,-2.361466,0.526369,-0.396723,1.489043,-3.720863
102,5,0,1,planar,190,-0.699856,0.103476,-1.233746,1.983540,-3.813666
103,5,4,0,planar,186,-0.046810,-0.187303,-1.850127,1.760642,-3.844882
104,-1,9,5,planar,45,-0.850701,0.687324,-1.576882,2.118099,-3.858358
105,5,10,0,planar,29,0.754372,0.145761,-2.042468,2.718365,-3.860699
106,-5,-4,-2,planar,95,1.951354,0.457896,-2.529231,3.747956,-3.867937
107,4,10,-1,planar,67,0.944013,-0.287461,-2.052409,2.505651,-3.901508
108,-2,-7,5,planar,22,-0.467713,0.537220,-1.885029,2.110440,-3.925963
109,5,-7,1,planar,134,1.069148,-0.479239,-2.001698,2.520039,-3.931828
110,5,-6,1,planar,143,2.265645,-0.550597,-2.390184,3.327116,-4.002252
111,5,-6,0,planar,151,1.878777,0.015802,-2.351358,3.603507,-4.060287
112,2,-4,3,planar,110,0.440967,-0.250135,-1.966530,2.300045,-4.075743
113,0,9,6,planar,57,1.585193,-0.375362,-2.218799,3.106198,-4.115166
114,1,8,3,planar,35,0.979936,-0.505929,-2.047675,2.565458,-4.139127
115,1,-13,3,linear,26,-4.335755,2.064862,-0.275306,1.773013,-4.319212
116,5,-3,0,planar,369,0.600380,-0.486601,-2.057420,2.377884,-4.321525
117,3,6,3,planar,45,0.792383,-0.362040,-2.043797,2.725402,-4.338855
118,5,6,0,planar,94,0.996785,-0.473020,-2.104803,2.849969,-4.431006
119,-4,-7,6,planar,18,-0.787921,0.768538,-2.000426,2.461577,-4.481386
120,5,0,2,planar,268,0.581682,-0.460844,-2.017498,2.607997,-4.504657
121,-4,-3,-2,planar,166,-0.353800,-0.045195,-1.918830,2.248561,-4.566386
122,4,4,3,planar,53,-4.036418,2.683228,-1.378125,1.905047,-4.636362
123,-5,4,-2,linear,61,-2.285559,0.082982,-0.661288,1.799012,-4.662877
