rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
167,-1,-9,5,planar,planar,24,-11.964261,2.188436,-1.547841,2.219063,3.465658,2.475711,0.293775,0.666667,0.088182,1.529930,3,0.399668,0.605728,0.621146,-7.601360
168,-8,-8,0,planar,planar,92,-1.793621,0.210081,-1.804157,3.342694,-0.695113,-0.177966,0.007061,0.248792,0.546590,0.416537,1,0.560207,0.000000,0.140397,-7.603471
169,-7,-4,3,planar,planar,77,-7.116830,0.492775,-1.701200,2.786032,1.884072,1.579367,0.130217,0.752033,0.384303,1.269695,2,0.626689,0.312561,0.508787,-7.647847
170,-1,-7,-4,planar,planar,273,-3.285241,0.357721,-1.812593,3.413317,-0.960227,1.385093,0.000911,0.168005,0.554660,0.319368,2,0.997775,0.238417,0.176776,-7.728563
171,7,18,8,planar,planar,21,-5.842091,0.986648,-1.649425,2.596990,1.015288,0.335660,0.086764,0.372093,0.288168,0.793101,2,0.358255,0.190331,0.113480,-7.750910
172,2,1,-2,planar,planar,808,0.138689,-0.338367,-1.904674,3.748243,-0.577090,-1.350000,0.000033,0.343724,0.589979,0.511474,1,0.000000,0.000000,0.054615,-7.779686
173,-9,1,-1,planar,planar,76,-8.475509,1.201587,-1.588249,2.527033,2.507086,1.047049,0.181806,0.838828,0.307861,1.434815,2,0.680514,0.236476,0.480047,-7.835069
174,2,5,0,planar,planar,124,-1.281826,0.014168,-1.779074,3.206369,-0.943318,-0.678545,0.014077,0.136347,0.533012,0.302320,2,0.060320,0.084023,0.015860,-7.874964
175,-7,-3,3,planar,planar,85,-7.214411,1.711706,-1.729703,3.091889,0.944163,1.392495,0.014933,0.480253,0.334036,0.815105,2,0.709230,0.268649,0.380516,-7.987639
176,4,-1,-3,planar,planar,209,-0.310903,-0.227474,-1.859151,3.645760,-0.700041,-1.350000,0.000046,0.281305,0.572286,0.442832,1,0.000000,0.000000,0.041951,-8.093329
