rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,-9,-7,3,corner_like,corner_like,41,1.869886,-0.072969,0.600328,0.168968,5.107574,0.000000,0.983221,0.333333,0.000758,2.094016,2,0.499864,0.425608,0.505995,7.335851
1,-6,0,4,volumetric,volumetric,84,1.046973,-0.421355,1.035158,0.210941,3.303017,0.000000,0.342047,0.841924,0.102570,1.654548,2,0.526335,0.284479,0.549682,4.752852
2,-9,-6,1,volumetric,volumetric,76,0.810466,-0.073854,0.775623,0.301262,3.496294,0.000000,0.448384,0.802817,0.120435,1.755084,2,0.582011,0.365099,0.652550,4.707266
3,-4,-7,1,corner_like,corner_like,59,0.232321,-0.340298,0.533128,0.289808,4.565169,0.000000,0.434398,1.000000,0.084900,2.086438,3,0.274142,0.448782,0.522815,4.700512
4,-3,-3,3,volumetric,volumetric,308,1.858364,-0.194299,0.542101,0.514004,2.879443,0.000000,0.505729,0.451977,0.111384,1.446576,1,0.511684,0.000000,0.400755,4.571604
5,11,-6,6,corner_like,corner_like,45,2.797609,0.152757,-0.199021,0.832560,2.020293,0.000000,0.224462,0.761905,0.307437,1.407785,2,0.678781,0.225801,0.492959,3.939077
6,11,-5,6,corner_like,corner_like,45,0.521343,-0.095409,1.078508,0.153880,1.510057,0.000000,0.181717,0.357724,0.116506,0.905480,2,0.688451,0.196629,0.408074,2.860620
7,-3,-8,0,corner_like,corner_like,108,-2.254456,0.613387,0.383287,0.323744,4.329493,0.000000,0.378566,1.000000,0.099436,2.011065,2,0.332261,0.174702,0.430000,2.747968
8,-9,-5,0,corner_like,corner_like,128,1.900154,-0.503182,0.352572,0.300028,1.205601,0.000000,0.401187,0.282171,0.233141,0.985324,3,0.566268,0.607123,0.611062,2.655118
9,-9,-6,2,planar,planar,50,2.357156,-0.089251,-1.316228,1.722515,3.152431,0.000000,0.375362,0.815873,0.161457,1.670866,2,0.596368,0.390914,0.660276,2.381594
10,-6,-1,4,corner_like,corner_like,93,2.701394,-0.165452,0.500274,0.235052,-0.576790,0.000000,0.049329,0.205165,0.351019,0.425609,1,0.403484,0.000000,0.137438,2.224375
11,-8,5,1,corner_like,corner_like,117,0.533900,-0.355174,-0.150555,0.765975,2.880012,0.000000,0.382239,0.806202,0.244235,1.669511,2,0.796298,0.248372,0.590839,2.142208
12,4,-9,4,planar,planar,43,0.884669,-0.183903,-1.549788,1.358759,3.981195,0.000000,0.625925,0.756098,0.116072,1.943372,2,0.490366,0.287660,0.541551,1.773415
13,-5,-3,3,corner_like,corner_like,225,2.836822,0.372406,0.033581,0.584366,-1.117977,0.000000,0.008733,0.183668,0.457191,0.347158,1,0.641671,0.000000,0.227849,1.540466
14,1,-9,4,planar,planar,58,0.202726,-0.513156,-1.198986,1.282943,4.080169,0.000000,0.296020,1.000000,0.090430,1.899627,2,0.410400,0.286359,0.514280,1.287810
15,-8,1,5,planar,planar,71,2.467906,-0.003346,-1.668029,1.694671,2.126311,0.000000,0.206441,0.766667,0.260131,1.388695,2,0.645420,0.270898,0.533834,1.228170
16,-8,0,4,corner_like,corner_like,50,-1.706000,0.412011,0.782561,0.189109,1.548258,0.000000,0.352855,0.506034,0.228478,1.166324,2,0.673726,0.262608,0.515688,0.847721
17,-6,1,5,volumetric,volumetric,63,1.479320,-0.384325,0.607972,0.482044,-0.489316,0.000000,0.061175,0.165533,0.302871,0.398005,2,0.602158,0.357957,0.323760,0.731606
18,-9,-5,2,planar,planar,52,0.883191,-0.435181,-1.628950,1.382743,3.176227,0.000000,0.426487,0.792961,0.187839,1.714681,1,0.643202,0.000000,0.634951,0.612545
19,-4,15,5,linear,linear,19,-2.046042,0.879251,-0.606991,1.773219,3.938979,0.000000,0.449036,0.666667,0.049185,1.739532,2,0.917680,0.269383,0.449057,0.391979
20,4,-9,5,corner_like,corner_like,69,-1.894774,0.550576,-0.211047,0.876340,2.807301,0.000000,0.423729,0.710526,0.228737,1.620279,1,0.547183,0.000000,0.524946,0.375716
21,-9,-1,-2,linear,linear,32,-0.131178,-0.499243,-0.476126,1.772297,3.184538,0.000000,0.237184,0.666667,0.061321,1.453532,1,0.738090,0.000000,0.446230,0.305693
22,2,18,10,planar,planar,25,2.169316,-0.475834,-1.777289,1.691752,2.047005,0.000000,0.341321,0.449275,0.194501,1.221653,1,0.944607,0.000000,0.477892,0.271445
23,-7,-4,2,linear,linear,15,-4.056544,1.309636,-0.264175,1.577256,4.472225,0.000000,0.385353,1.000000,0.062567,2.020227,2,0.633382,0.345688,0.626822,-0.116114
24,-2,-8,4,planar,planar,85,2.539067,0.046384,-1.852554,2.124740,1.152745,0.000000,0.340870,0.522409,0.351584,1.168157,2,0.421391,0.343743,0.445731,-0.239096
25,8,4,-1,planar,planar,24,1.932001,0.272042,-1.803260,2.242629,1.598305,0.000000,0.000022,0.333333,0.059519,0.766696,1,0.127338,0.000000,0.095202,-0.243542
26,11,-7,5,planar,planar,18,1.103329,-0.543381,-1.454299,2.167088,2.347189,0.000000,0.388253,0.432099,0.136339,1.266117,3,0.567508,0.508067,0.483126,-0.714250
27,5,-5,-5,planar,planar,33,1.446850,-0.100884,-1.997967,2.385968,2.154202,0.000000,0.000228,0.666667,0.132277,1.133641,2,0.754217,0.248789,0.406526,-0.883767
28,4,-10,1,linear,linear,18,-0.953774,0.417597,-0.351987,1.736524,1.662404,0.000000,0.146330,0.489583,0.144456,1.002754,2,0.435865,0.300730,0.351093,-0.962283
29,-9,-4,2,planar,planar,111,2.766632,0.203535,-1.758885,1.724139,-0.472005,0.000000,0.121453,0.206842,0.395094,0.524820,3,0.591601,0.692739,0.581260,-0.984862
30,-6,-3,3,planar,planar,152,2.749991,0.189154,-1.871836,1.993593,-0.088283,0.000000,0.156195,0.314789,0.404444,0.690464,1,0.501401,0.000000,0.249227,-1.014568
