rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,6,13,0,volumetric,volumetric,36,2.835336,0.329004,1.318980,0.132549,3.739939,0.000000,0.520785,0.736434,0.064483,1.779804,4,0.526265,0.729941,0.900541,8.090710
1,4,-3,-1,volumetric,volumetric,193,2.785246,0.287700,1.350097,0.199947,2.714704,0.000000,0.362529,0.513761,0.065644,1.321218,2,0.817610,0.235808,0.549116,6.937799
2,6,-2,-1,corner_like,corner_like,68,0.446755,0.048354,0.745707,0.275631,5.732644,0.000000,0.731711,1.000000,0.034425,2.487809,3,0.678311,0.682392,0.904944,6.697829
3,4,-1,-1,corner_like,corner_like,310,2.601651,0.051998,0.912959,0.196657,3.324509,0.000000,0.635071,0.392982,0.058838,1.556293,2,0.829790,0.249842,0.550699,6.694460
4,6,14,1,corner_like,corner_like,26,2.641705,-0.082174,0.776490,0.270888,3.240494,0.000000,0.257801,0.666667,0.065514,1.481365,3,0.646785,0.659568,0.763055,6.305627
5,6,7,2,volumetric,volumetric,35,1.004453,-0.146068,1.115927,0.231046,4.192792,0.000000,0.843240,0.408163,0.020695,1.854020,1,0.267153,0.000000,0.332838,5.936057
6,1,-1,-2,corner_like,corner_like,1646,1.960966,-0.324566,1.019528,0.217410,3.024912,0.000000,0.397907,0.679092,0.108368,1.550843,1,0.704150,0.000000,0.576685,5.463431
7,6,8,2,corner_like,corner_like,38,1.648937,-0.752185,0.795565,0.191866,3.808438,0.000000,0.685026,0.503876,0.055647,1.745716,1,0.374527,0.000000,0.349632,5.308890
8,6,12,-1,corner_like,corner_like,35,2.575320,-0.056109,0.092861,0.560220,2.633861,0.000000,0.298088,0.822917,0.246731,1.574294,3,0.629165,0.738349,0.884137,4.685713
9,4,-2,-1,volumetric,volumetric,168,2.395232,0.131032,1.083355,0.486083,1.514286,0.000000,0.329043,0.477535,0.190089,1.102830,2,0.798318,0.257419,0.506794,4.637823
10,6,-2,0,corner_like,corner_like,160,2.104318,-0.215324,0.721290,0.198831,2.005478,0.000000,0.452482,0.435880,0.170354,1.223652,3,0.627624,0.600044,0.674209,4.416931
11,6,6,2,corner_like,corner_like,60,2.121384,-0.056270,0.398543,0.344801,2.127418,0.000000,0.349893,0.415771,0.150310,1.196370,2,0.375294,0.243649,0.388810,4.246274
12,6,5,2,volumetric,volumetric,58,2.172327,-0.256479,1.019555,0.179061,0.686371,0.000000,0.113634,0.382525,0.179207,0.707518,2,0.355894,0.193610,0.207437,3.442713
13,6,2,2,corner_like,corner_like,161,2.762012,0.246134,0.644436,0.354662,-0.293430,0.000000,0.022491,0.435669,0.392541,0.642931,1,0.349068,0.000000,0.166932,3.004490
14,6,3,2,corner_like,corner_like,154,2.653074,0.183945,0.619811,0.351833,-0.181622,0.000000,0.027247,0.469982,0.392113,0.687098,1,0.415757,0.000000,0.200640,2.923375
15,6,0,2,corner_like,corner_like,147,2.253954,-0.006639,0.599817,0.221404,0.132074,0.000000,0.084623,0.468237,0.353696,0.762635,1,0.511062,0.000000,0.266454,2.757803
16,6,3,-1,corner_like,corner_like,213,2.185997,0.023122,0.050975,0.584978,0.514705,0.000000,0.345125,0.181878,0.302643,0.799318,2,0.613837,0.296249,0.406744,2.189822
17,6,-3,2,corner_like,corner_like,169,2.290833,0.011684,0.399856,0.320815,-0.217194,0.000000,0.015238,0.512172,0.426286,0.717294,1,0.419575,0.000000,0.206636,2.164365
18,6,-4,2,corner_like,corner_like,123,2.416321,-0.096328,0.227355,0.410627,-0.089174,0.000000,0.030699,0.585260,0.464794,0.818563,1,0.369613,0.000000,0.195711,2.047547
19,6,-2,1,corner_like,corner_like,275,2.879421,0.398547,0.191258,0.593394,-0.831121,0.000000,0.090424,0.133429,0.411250,0.402177,2,0.422651,0.224544,0.142315,2.044712
20,6,1,2,corner_like,corner_like,206,2.683688,0.253136,-0.058263,0.687923,-0.286267,0.000000,0.136576,0.406616,0.484227,0.764988,1,0.369552,0.000000,0.186456,1.904371
21,6,-1,2,corner_like,corner_like,141,2.038183,-0.012670,0.451247,0.292924,-0.312939,0.000000,0.022045,0.451375,0.411371,0.659607,1,0.450328,0.000000,0.209394,1.870896
22,6,-2,2,volumetric,volumetric,201,2.289798,-0.178990,0.365272,0.446159,-0.414955,0.000000,0.024826,0.418526,0.417852,0.627226,1,0.371858,0.000000,0.162448,1.614966
23,6,-9,1,corner_like,corner_like,50,0.300576,-0.411111,0.394234,0.308721,1.613324,0.000000,0.478817,0.286430,0.191907,1.094809,1,0.479561,0.000000,0.352247,1.588301
24,3,15,3,linear,linear,33,2.002997,-0.846830,-0.362533,1.527343,2.227662,0.000000,0.325871,0.444444,0.118782,1.195482,1,0.539731,0.000000,0.366655,1.493953
25,6,4,2,corner_like,corner_like,149,2.083900,-0.048805,0.259120,0.372733,-0.635815,0.000000,0.033789,0.257901,0.397665,0.462639,1,0.369900,0.000000,0.125681,1.285668
26,6,4,-1,corner_like,corner_like,204,2.253878,0.025324,-0.299895,0.840997,0.109030,0.000000,0.281881,0.218245,0.392561,0.753941,2,0.557674,0.318402,0.366523,1.247340
27,6,-3,1,corner_like,corner_like,276,2.803596,0.081246,0.006749,0.628945,-1.132675,0.000000,0.036439,0.137007,0.451003,0.333233,2,0.403330,0.209561,0.106306,1.129971
28,12,-1,-1,linear,linear,24,-0.757915,0.631967,-0.286426,1.733605,3.236748,0.000000,0.052907,1.000000,0.097481,1.571425,2,0.071470,0.100410,0.214728,1.090769
29,1,0,-2,planar,planar,1343,2.107231,-0.464994,-1.333359,1.711814,2.381690,0.000000,0.277845,0.690190,0.190992,1.400966,1,0.557511,0.000000,0.493137,0.978753
30,6,-7,2,corner_like,corner_like,57,-0.202495,-0.187491,0.702017,0.265448,0.923234,0.000000,0.063252,0.368932,0.183530,0.757882,1,0.468111,0.000000,0.278069,0.969817
31,1,-8,4,corner_like,corner_like,121,0.628149,-0.365476,0.476004,0.234054,0.439583,0.000000,0.192415,0.317394,0.281841,0.742227,3,0.467699,0.655121,0.526877,0.944206
32,6,-3,0,corner_like,corner_like,288,2.441887,-0.182950,-0.023707,0.632977,-0.821128,0.000000,0.119043,0.106960,0.415498,0.411697,3,0.631018,0.576362,0.435510,0.781125
33,6,-3,-1,corner_like,corner_like,184,-0.027718,-0.227208,0.270237,0.569285,1.300770,0.000000,0.403994,0.340637,0.256244,1.053426,2,0.817167,0.272456,0.483447,0.746795
34,6,-2,3,corner_like,corner_like,197,1.951188,-0.028907,0.074435,0.627716,-0.813381,0.000000,0.073114,0.190385,0.436010,0.441461,2,0.408307,0.168397,0.129851,0.555620
35,2,7,-2,linear,linear,44,1.891897,0.355112,-0.622416,1.798878,0.687932,0.000000,0.017058,0.364341,0.204074,0.690470,1,0.000000,0.000000,0.126588,0.513648
36,6,2,-1,corner_like,corner_like,272,2.439848,-0.310652,-0.280448,0.826474,-0.624735,0.000000,0.151851,0.194110,0.462882,0.551853,2,0.662631,0.288719,0.336835,0.397539
