rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,6,13,0,volumetric,volumetric,36,2.835336,0.329004,1.317796,0.132549,4.038847,3.261310,0.520785,0.736434,0.064483,1.779804,4,0.526265,0.729941,0.900541,11.649744
1,6,-2,-1,corner_like,corner_like,68,0.446755,0.048354,0.909642,0.275631,5.949856,3.262960,0.731711,1.000000,0.034425,2.487809,3,0.678311,0.682392,0.904944,10.341936
2,6,14,1,corner_like,corner_like,26,2.641705,-0.082174,0.966146,0.270888,3.406584,3.030363,0.257801,0.666667,0.065514,1.481365,3,0.646785,0.659568,0.763055,9.691736
3,6,12,-1,corner_like,corner_like,35,2.575320,-0.056109,0.458728,0.560220,3.023893,3.480829,0.298088,0.822917,0.246731,1.574294,3,0.629165,0.738349,0.884137,8.922441
4,4,-3,-1,volumetric,volumetric,193,2.785246,0.287700,1.328057,0.199947,2.947526,1.278286,0.362529,0.513761,0.065644,1.321218,2,0.817610,0.235808,0.549116,8.426868
5,4,-1,-1,corner_like,corner_like,310,2.601651,0.051998,0.979338,0.196657,3.553928,1.396130,0.635071,0.392982,0.058838,1.556293,2,0.829790,0.249842,0.550699,8.386388
6,6,-2,0,corner_like,corner_like,160,2.104318,-0.215324,0.881665,0.198831,2.357321,2.703041,0.452482,0.435880,0.170354,1.223652,3,0.627624,0.600044,0.674209,7.632191
7,4,-2,-1,volumetric,volumetric,168,2.395232,0.131032,1.205887,0.486083,1.942664,1.395206,0.329043,0.477535,0.190089,1.102830,2,0.798318,0.257419,0.506794,6.583939
8,6,7,2,volumetric,volumetric,35,1.004453,-0.146068,1.154537,0.231046,4.403139,-0.525685,0.843240,0.408163,0.020695,1.854020,1,0.267153,0.000000,0.332838,5.659329
9,1,-1,-2,corner_like,corner_like,1646,1.960966,-0.324566,1.058431,0.217410,3.345763,-0.184581,0.397907,0.679092,0.108368,1.550843,1,0.704150,0.000000,0.576685,5.638603
10,6,6,2,corner_like,corner_like,60,2.121384,-0.056270,0.618697,0.344801,2.402573,0.804347,0.349893,0.415771,0.150310,1.196370,2,0.375294,0.243649,0.388810,5.545931
11,6,8,2,corner_like,corner_like,38,1.648937,-0.752185,0.895282,0.191866,4.036261,-0.424883,0.685026,0.503876,0.055647,1.745716,1,0.374527,0.000000,0.349632,5.211546
12,6,5,-1,planar,junction_like_mixed,110,1.287938,-0.535533,1.203154,1.215789,0.865984,3.268436,0.249239,0.228360,0.255705,0.721002,3,0.496105,0.733348,0.660233,4.874191
13,6,3,-1,corner_like,corner_like,213,2.185997,0.023122,0.428595,0.584978,0.932693,1.384955,0.345125,0.181878,0.302643,0.799318,2,0.613837,0.296249,0.406744,4.370385
14,1,-8,4,corner_like,corner_like,121,0.628149,-0.365476,0.679024,0.234054,0.847170,2.721497,0.192415,0.317394,0.281841,0.742227,3,0.467699,0.655121,0.526877,4.276311
15,6,5,2,volumetric,volumetric,58,2.172327,-0.256479,1.033049,0.179061,1.042641,0.404331,0.113634,0.382525,0.179207,0.707518,2,0.355894,0.193610,0.207437,4.216809
16,6,-3,0,corner_like,corner_like,288,2.441887,-0.182950,0.362619,0.632977,-0.346712,2.564638,0.119043,0.106960,0.415498,0.411697,3,0.631018,0.576362,0.435510,4.206506
17,4,-13,4,planar,junction_like_mixed,16,-0.106566,-0.018102,1.025362,1.449137,1.146015,3.463078,0.277049,0.021277,0.144558,0.664087,3,0.637605,0.741997,0.685377,4.060650
18,6,5,0,corner_like,corner_like,115,0.739882,-0.218745,0.633177,0.439406,-0.380607,3.406688,0.063744,0.126158,0.379155,0.358161,4,0.437249,0.766262,0.591132,3.740988
