vx,vy,vz,center_x,center_y,center_z,num_points,base_label,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty,occupied_face_count,occupied_face_ratio,opposite_face_pair_ratio,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_neighbor_count,junction_cluster_count,junction_entropy,junction_dominant_fraction,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score
-10,-8,0,-9.500000,-7.500000,0.500000,15,linear,linear,0.053891,0.005942,0.000615,0.889735,0.098858,0.011407,0.988593,0.005817,2.070543,188.025831,0.213620,-185.955288,0.596050,10.180220,1.537716,9.584170,2,0.333333,0.000000,0.275426,0.666667,0.054499,1.505158,18,2,0.631482,0.668697,0.628406,0.225380,0.452931
-10,-7,-1,-9.500000,-6.500000,-0.500000,56,planar,planar,0.118192,0.043141,0.003763,0.634995,0.333168,0.031837,0.968163,0.026771,2.709731,26.513270,0.377636,-23.803539,0.543843,2.583380,1.484971,2.039537,3,0.500000,0.000000,0.262281,1.000000,0.112679,1.854080,19,2,0.646268,0.657142,0.544455,0.230703,0.438723
-10,-7,0,-9.500000,-6.500000,0.500000,17,planar,planar,0.111482,0.031275,0.000809,0.719462,0.273285,0.007253,0.992747,0.014127,2.265603,91.195772,0.331225,-88.930169,0.511702,7.811083,1.309288,7.299381,2,0.333333,0.000000,0.171818,0.666667,0.079727,1.365288,23,2,0.700597,0.555273,0.499686,0.266918,0.399283
-10,-6,-1,-9.500000,-5.500000,-0.500000,39,planar,planar,0.120638,0.048239,0.001057,0.600137,0.391102,0.008761,0.991239,0.018322,2.421567,73.637757,0.384531,-71.216191,0.479176,5.953084,1.421142,5.473909,1,0.166667,0.000000,0.013600,0.333333,0.054356,0.785026,24,2,0.709020,0.492296,0.619873,0.285590,0.345704
-10,-4,-2,-9.500000,-3.500000,-1.500000,27,linear,linear,0.102344,0.015060,0.000251,0.852848,0.144701,0.002451,0.997549,0.007285,2.049782,160.066750,0.317907,-158.016968,0.517528,9.038067,1.468391,8.520539,1,0.166667,0.000000,0.000324,0.333333,0.040613,0.767104,13,2,0.532935,0.799181,0.486579,0.178545,0.161447
-10,-4,-1,-9.500000,-3.500000,-0.500000,24,linear,linear,0.062906,0.011027,0.000104,0.824705,0.173639,0.001656,0.998344,0.004165,1.912419,239.969029,0.241619,-238.056610,0.358176,11.294853,1.133341,10.936677,2,0.333333,0.000000,0.002088,0.666667,0.084575,1.136152,19,2,0.460432,0.789372,0.563403,0.171206,0.318670
-9,-8,-1,-8.500000,-7.500000,-0.500000,19,linear,linear,0.056124,0.012072,0.000171,0.784909,0.212040,0.003051,0.996949,0.004877,1.944189,296.848922,0.218972,-294.904733,0.532588,12.714852,1.359255,12.182264,3,0.500000,0.000000,0.002027,1.000000,0.133587,1.502736,22,1,0.532283,0.733870,0.633761,0.000000,0.399317
-9,-8,0,-8.500000,-7.500000,0.500000,54,planar,planar,0.075266,0.062919,0.000871,0.164052,0.824370,0.011578,0.988422,0.016040,2.391769,24.869194,0.342228,-22.477425,0.531158,2.404601,1.338795,1.873443,4,0.666667,0.666667,0.060295,0.309320,0.552414,0.554984,24,1,0.617938,0.677859,0.569325,0.000000,0.167621
-9,-8,1,-8.500000,-7.500000,1.500000,29,planar,planar,0.114999,0.050863,0.002337,0.557708,0.421967,0.020325,0.979675,0.023912,2.580308,8.683822,0.375256,-6.103514,0.556910,1.488041,1.434683,0.931131,2,0.333333,0.000000,0.007156,0.666667,0.112337,1.142993,25,1,0.733813,0.545064,0.487116,0.000000,0.355036
-9,-7,-2,-8.500000,-6.500000,-1.500000,25,linear,linear,0.079658,0.009935,0.000071,0.875278,0.123835,0.000887,0.999113,0.003825,1.883693,18.555963,0.262174,-16.672270,0.425564,2.743369,1.150498,2.317805,2,0.333333,0.000000,0.004501,0.666667,0.078512,1.139410,18,2,0.602022,0.730315,0.567238,0.205157,0.314473
-9,-7,-1,-8.500000,-6.500000,-0.500000,68,planar,planar,0.091940,0.063234,0.000675,0.312226,0.680436,0.007338,0.992662,0.015770,2.341582,52.523446,0.363467,-50.181863,0.518521,5.294687,1.377438,4.776166,4,0.666667,0.333333,0.189027,0.675362,0.330893,1.264752,25,2,0.628558,0.650302,0.579769,0.229682,0.397529
