rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,-9,-7,3,corner_like,corner_like,41,1.869886,-0.072969,0.853968,0.168968,5.505541,3.022612,0.983221,0.333333,0.000758,2.094016,2,0.499864,0.425608,0.505995,11.010070
1,-9,-6,2,planar,junction_like_mixed,50,2.357156,-0.089251,1.447853,1.378012,3.849414,3.188397,0.375362,0.815873,0.161457,1.670866,2,0.596368,0.390914,0.660276,9.375557
2,-9,-6,1,volumetric,volumetric,76,0.810466,-0.073854,1.020110,0.301262,4.177195,3.010744,0.448384,0.802817,0.120435,1.755084,2,0.582011,0.365099,0.652550,8.643398
3,-4,-7,1,corner_like,corner_like,59,0.232321,-0.340298,0.876408,0.289808,5.187565,2.473007,0.434398,1.000000,0.084900,2.086438,3,0.274142,0.448782,0.522815,8.139195
4,-6,0,4,volumetric,volumetric,84,1.046973,-0.421355,1.109220,0.210941,3.956331,2.138332,0.342047,0.841924,0.102570,1.654548,2,0.526335,0.284479,0.549682,7.618561
5,-9,-5,0,corner_like,corner_like,128,1.900154,-0.503182,0.717203,0.300028,1.849932,3.750299,0.401187,0.282171,0.233141,0.985324,3,0.566268,0.607123,0.611062,7.414380
6,11,-6,6,corner_like,corner_like,45,2.797609,0.152757,0.371969,0.832560,2.780000,1.831694,0.224462,0.761905,0.307437,1.407785,2,0.678781,0.225801,0.492959,7.101468
7,-3,-3,3,volumetric,volumetric,308,1.858364,-0.194299,0.937646,0.514004,3.424398,0.636767,0.505729,0.451977,0.111384,1.446576,1,0.511684,0.000000,0.400755,6.148871
8,-8,5,1,corner_like,corner_like,117,0.533900,-0.355174,0.432049,0.765975,3.634737,2.356881,0.382239,0.806202,0.244235,1.669511,2,0.796298,0.248372,0.590839,5.836418
9,4,-9,4,planar,planar,43,0.884669,-0.183903,-1.200288,1.358759,4.687285,2.121790,0.625925,0.756098,0.116072,1.943372,2,0.490366,0.287660,0.541551,4.950795
10,11,-5,6,corner_like,corner_like,45,0.521343,-0.095409,1.154973,0.153880,1.977433,1.537418,0.181717,0.357724,0.116506,0.905480,2,0.688451,0.196629,0.408074,4.941878
11,-3,-8,0,corner_like,corner_like,108,-2.254456,0.613387,0.753484,0.323744,4.950759,1.043862,0.378566,1.000000,0.099436,2.011065,2,0.332261,0.174702,0.430000,4.783292
12,-8,1,5,planar,planar,71,2.467906,-0.003346,-1.285705,1.694671,2.850040,2.225412,0.206441,0.766667,0.260131,1.388695,2,0.645420,0.270898,0.533834,4.559635
13,-9,-4,2,planar,planar,111,2.766632,0.203535,-1.321547,1.724139,0.216617,4.231591,0.121453,0.206842,0.395094,0.524820,3,0.591601,0.692739,0.581260,4.372688
14,-6,1,5,volumetric,volumetric,63,1.479320,-0.384325,0.927110,0.482044,0.115727,2.473609,0.061175,0.165533,0.302871,0.398005,2,0.602158,0.357957,0.323760,4.129397
15,1,-9,4,planar,planar,58,0.202726,-0.513156,-1.016533,1.282943,4.678414,2.035690,0.296020,1.000000,0.090430,1.899627,2,0.410400,0.286359,0.514280,4.104197
16,-8,0,4,corner_like,corner_like,50,-1.706000,0.412011,1.038017,0.189109,2.299808,2.207450,0.352855,0.506034,0.228478,1.166324,2,0.673726,0.262608,0.515688,4.062177
17,-7,-4,2,linear,linear,15,-4.056544,1.309636,-0.226159,1.577256,5.069056,2.900458,0.385353,1.000000,0.062567,2.020227,2,0.633382,0.345688,0.626822,3.419190
18,-2,-8,4,planar,planar,85,2.539067,0.046384,-1.385034,2.124740,1.990744,2.344644,0.340870,0.522409,0.351584,1.168157,2,0.421391,0.343743,0.445731,3.411066
19,-4,15,5,linear,linear,19,-2.046042,0.879251,-0.434613,1.773219,4.401005,2.379362,0.449036,0.666667,0.049185,1.739532,2,0.917680,0.269383,0.449057,3.405745
20,-6,-1,4,corner_like,corner_like,93,2.701394,-0.165452,0.849694,0.235052,0.066099,0.006926,0.049329,0.205165,0.351019,0.425609,1,0.403484,0.000000,0.137438,3.223609
21,-5,-3,3,corner_like,corner_like,225,2.836822,0.372406,0.521457,0.584366,-0.412536,0.379386,0.008733,0.183668,0.457191,0.347158,1,0.641671,0.000000,0.227849,3.113169
22,-9,-5,2,planar,planar,52,0.883191,-0.435181,-1.234899,1.382743,3.898250,1.358467,0.426487,0.792961,0.187839,1.714681,1,0.643202,0.000000,0.634951,3.087085
23,11,-7,5,planar,planar,18,1.103329,-0.543381,-1.234639,2.167088,2.882544,2.898727,0.388253,0.432099,0.136339,1.266117,3,0.567508,0.508067,0.483126,2.939493
24,4,-9,5,corner_like,corner_like,69,-1.894774,0.550576,0.358069,0.876340,3.543792,0.819713,0.423729,0.710526,0.228737,1.620279,1,0.547183,0.000000,0.524946,2.501036
25,2,18,10,planar,planar,25,2.169316,-0.475834,-1.303175,1.691752,2.616404,1.070952,0.341321,0.449275,0.194501,1.221653,1,0.944607,0.000000,0.477892,2.385909
26,5,-5,-5,planar,planar,33,1.446850,-0.100884,-1.539632,2.385968,2.583509,2.003975,0.000228,0.666667,0.132277,1.133641,2,0.754217,0.248789,0.406526,2.007850
27,11,-8,5,planar,planar,35,0.745026,-0.185302,-1.320685,1.804091,2.661280,1.850523,0.237273,0.666667,0.263097,1.320318,2,0.709689,0.216848,0.481631,1.946751
