rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,-2,8,-1,volumetric,volumetric,95,2.663713,0.227480,0.888805,0.333052,4.024407,3.174968,0.515703,0.787709,0.114772,1.829346,3,0.657634,0.675225,0.882166,10.646320
1,-2,8,0,corner_like,corner_like,49,1.607430,-0.401236,0.915856,0.469838,4.242777,3.556748,0.534060,0.815261,0.085446,1.884434,3,0.677131,0.734005,0.964498,9.451738
2,-3,8,-1,corner_like,corner_like,57,2.866183,0.210969,1.177339,0.101497,3.002943,1.617639,0.562943,0.487179,0.101237,1.429204,2,0.648840,0.317183,0.554262,8.773576
3,6,2,2,planar,planar,191,2.243274,-0.179364,-1.187788,1.686922,5.016063,2.941468,0.487507,1.000000,0.074281,2.158134,3,0.444204,0.694646,0.787723,7.146731
4,2,7,-2,corner_like,corner_like,132,0.552474,-0.249911,1.150630,0.161734,4.246392,1.516032,0.733437,0.690973,0.062110,1.883545,2,0.730728,0.299513,0.584589,7.053884
5,-3,9,-1,planar,junction_like_mixed,58,-1.948498,0.678278,1.226030,1.059559,4.067137,3.623654,0.443198,0.666667,0.052844,1.731650,3,0.620462,0.764312,0.960771,6.587043
6,-2,7,-1,corner_like,corner_like,96,2.290247,-0.083618,1.182899,0.180348,3.154080,0.213030,0.565354,0.545638,0.107694,1.496763,1,0.689931,0.000000,0.548072,6.576291
7,4,6,3,corner_like,corner_like,64,-0.102694,0.029578,0.995292,0.228241,5.101525,0.396068,0.689297,0.905512,0.053943,2.193281,2,0.337315,0.191212,0.433506,6.191529
8,-1,8,0,volumetric,volumetric,120,1.502082,-0.304037,0.761402,0.435989,2.666299,1.893839,0.055286,0.666667,0.086167,1.207970,2,0.666959,0.347743,0.545907,6.083596
9,10,-1,2,linear,linear,42,-0.862081,0.289011,-0.292587,1.792991,5.059848,3.657120,0.950006,0.333333,0.001729,2.049174,3,0.536900,0.795151,0.796241,6.058320
