mode,enable_relabel,relabel_mode,output_dir,analyzed_voxels,interesting_top_k,junction_like_mixed_count,combined_corner_or_junction_count,planar_reduction_count,interesting_junction_like_mixed_count,interesting_combined_corner_or_junction_count,interesting_planar_reduction_count,relabeled_planar_voxel_count,topk_relabeled_planar_voxel_count,planar_delta_vs_baseline_topk,combined_delta_vs_baseline_topk,label_corner_like_count,label_corner_like_fraction,label_junction_like_mixed_count,label_junction_like_mixed_fraction,label_linear_count,label_linear_fraction,label_planar_count,label_planar_fraction,label_volumetric_count,label_volumetric_fraction,topk_corner_like_count,topk_corner_like_fraction,topk_junction_like_mixed_count,topk_junction_like_mixed_fraction,topk_linear_count,topk_linear_fraction,topk_planar_count,topk_planar_fraction,topk_volumetric_count,topk_volumetric_fraction
context_hybrid,False,hard_threshold,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/context_refinement_scored/junction_mixed_scored_runs/context_hybrid_baseline,732,200,0,33,0,0,32,0,0,0,0,0,33,0.045081967213114756,0,0.0,249,0.3401639344262295,444,0.6065573770491803,6,0.00819672131147541,32,0.16,0,0.0,36,0.18,126,0.63,6,0.03
junction_mixed_priority,True,hard_threshold,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/context_refinement_scored/junction_mixed_scored_runs/junction_mixed_priority_hard_threshold,732,200,10,43,10,3,35,3,10,3,-3,3,33,0.045081967213114756,10,0.01366120218579235,249,0.3401639344262295,434,0.592896174863388,6,0.00819672131147541,32,0.16,3,0.015,36,0.18,123,0.615,6,0.03
junction_mixed_scored,True,scored,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/context_refinement_scored/junction_mixed_scored_runs/junction_mixed_scored,732,200,13,46,13,8,40,8,13,8,-7,8,33,0.045081967213114756,13,0.017759562841530054,249,0.3401639344262295,431,0.5887978142076503,6,0.00819672131147541,32,0.16,8,0.04,35,0.175,119,0.595,6,0.03
