rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
142,6,-11,2,planar,24,-1.786858,0.585121,0.000000,0.000000,-1.201737
143,6,-9,2,planar,29,-1.420914,0.197073,0.000000,0.000000,-1.223842
144,1,-7,-2,planar,84,-1.256026,0.030474,0.000000,0.000000,-1.225552
145,-10,-4,8,linear,21,-1.386594,0.146231,0.000000,0.000000,-1.240363
146,3,-7,4,planar,49,-1.179804,-0.137356,0.000000,0.000000,-1.317160
147,-2,18,-1,planar,35,-1.408366,0.027854,0.000000,0.000000,-1.380512
148,2,0,-2,planar,734,-1.389359,0.006455,0.000000,0.000000,-1.382905
149,0,-9,-2,linear,40,-2.964928,1.572828,0.000000,0.000000,-1.392100
150,-8,-10,6,planar,27,-1.621109,0.226644,0.000000,0.000000,-1.394465
151,5,4,4,planar,49,-1.360596,-0.050876,0.000000,0.000000,-1.411471
152,-1,-8,5,linear,25,-1.971618,0.489534,0.000000,0.000000,-1.482084
153,-1,-6,-2,planar,118,-1.633323,0.134044,0.000000,0.000000,-1.499279
154,-2,-9,-2,linear,32,-1.600179,0.062852,0.000000,0.000000,-1.537327
155,3,-5,4,corner_like,96,-1.381671,-0.194851,0.000000,0.000000,-1.576522
156,5,-2,4,linear,37,-1.860668,0.277285,0.000000,0.000000,-1.583382
157,2,-5,4,planar,120,-1.517398,-0.081019,0.000000,0.000000,-1.598417
158,0,2,-2,planar,917,-1.767611,0.025159,0.000000,0.000000,-1.742452
159,-9,-4,8,linear,30,-1.946764,0.103646,0.000000,0.000000,-1.843118
160,3,-6,4,planar,48,-1.889902,0.022237,0.000000,0.000000,-1.867665
161,0,-10,7,planar,63,-2.371195,0.501503,0.000000,0.000000,-1.869692
162,3,6,-2,planar,50,-2.009707,0.115647,0.000000,0.000000,-1.894061
163,-7,-10,6,linear,39,-2.498895,0.559453,0.000000,0.000000,-1.939442
164,6,-8,2,planar,46,-2.469894,0.491456,0.000000,0.000000,-1.978439
165,-1,-4,-2,planar,448,-2.023076,0.029470,0.000000,0.000000,-1.993607
166,6,7,-1,planar,86,-2.487106,0.440421,0.000000,0.000000,-2.046685
167,0,-8,4,planar,162,-2.388852,0.296660,0.000000,0.000000,-2.092192
168,12,-3,0,planar,45,-2.842669,0.678068,0.000000,0.000000,-2.164601
169,-2,18,0,planar,35,-2.391388,0.202864,0.000000,0.000000,-2.188524
