vx,vy,vz,center_x,center_y,center_z,num_points,base_label,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty,occupied_face_count,occupied_face_ratio,opposite_face_pair_ratio,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_neighbor_count,junction_cluster_count,junction_entropy,junction_dominant_fraction,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score
-23,-8,0,-22.500000,-7.500000,0.500000,19,planar,planar,0.090771,0.069614,0.000346,0.233085,0.763100,0.003815,0.996185,0.012983,2.114699,13.025795,0.380526,-10.911096,0.400358,2.123914,1.360892,1.723556,1,0.166667,0.000000,0.000131,0.333333,0.077419,0.766843,2,1,0.000000,1.000000,0.000000,0.000000,0.063961
-23,-7,0,-22.500000,-6.500000,0.500000,19,planar,planar,0.121911,0.068535,0.000153,0.437833,0.560914,0.001252,0.998748,0.010846,1.998897,18.651414,0.411487,-16.652517,0.469064,2.369120,1.423020,1.900056,2,0.333333,0.333333,0.000227,0.009009,0.237998,0.276884,2,1,0.000000,1.000000,0.000000,0.000000,-0.004669
-23,-6,0,-22.500000,-5.500000,0.500000,18,planar,planar,0.083550,0.069191,0.000119,0.171855,0.826720,0.001425,0.998575,0.008829,1.964744,18.760582,0.367994,-16.795839,0.581857,2.299617,1.581857,1.717760,1,0.166667,0.000000,0.000324,0.333333,0.081270,0.767104,2,1,0.000000,1.000000,0.000000,0.000000,0.063977
-13,-7,8,-12.500000,-6.500000,8.500000,21,planar,planar,0.107561,0.055736,0.000688,0.481822,0.511785,0.006392,0.993608,0.016033,2.267221,1.060683,0.345665,1.206538,0.342824,0.055055,1.070352,-0.287769,1,0.166667,0.000000,0.024427,0.333333,0.060849,0.799643,5,2,0.646493,0.834848,0.136787,0.100872,0.066833
-12,-7,8,-11.500000,-6.500000,8.500000,17,planar,planar,0.077791,0.055834,0.001752,0.282253,0.695231,0.022516,0.977484,0.019668,2.452971,1.948624,0.336023,0.504347,0.535925,0.566251,1.535925,0.030326,2,0.333333,0.333333,0.016764,0.035088,0.260236,0.327894,8,1,0.517025,0.884248,0.164437,0.000000,0.006573
-12,4,8,-11.500000,4.500000,8.500000,24,planar,planar,0.118571,0.036952,0.004029,0.688355,0.277663,0.033982,0.966018,0.026038,2.651181,1.416102,0.368941,1.235079,0.799557,0.568466,1.799557,-0.231091,1,0.166667,0.000000,0.060509,0.333333,0.044661,0.848354,6,2,0.713324,0.804261,0.116503,0.104171,0.088308
-12,7,8,-11.500000,7.500000,8.500000,19,linear,linear,0.152729,0.030748,0.000152,0.798673,0.200332,0.000995,0.999005,0.008937,1.983723,5.841660,0.415796,-3.857937,0.658189,0.789254,1.658189,0.131065,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,2,1,0.000000,1.000000,0.000000,0.000000,0.008889
-11,-8,8,-10.500000,-7.500000,8.500000,15,linear,linear,0.059676,0.003399,0.000001,0.943045,0.056946,0.000009,0.999991,0.000477,1.639609,12.025728,0.222787,-10.386119,0.298452,2.354193,1.140209,2.055742,1,0.166667,0.000000,0.200735,0.333333,0.028355,1.037659,9,1,0.000000,1.000000,0.000000,0.000000,0.140388
-11,-7,8,-10.500000,-6.500000,8.500000,17,planar,planar,0.086557,0.058988,0.001019,0.318508,0.669716,0.011775,0.988225,0.017329,2.330987,0.603786,0.328495,1.727201,0.587188,0.286916,1.303393,-0.300272,4,0.666667,0.666667,0.056939,0.155262,0.491142,0.380989,12,1,0.397831,0.921230,0.155289,0.000000,-0.042492
-11,-6,8,-10.500000,-5.500000,8.500000,22,planar,planar,0.097983,0.024525,0.000128,0.749703,0.248991,0.001306,0.998694,0.006749,1.970307,1.750358,0.323792,0.219949,0.397195,0.639136,1.361300,0.241941,3,0.500000,0.333333,0.017270,0.342857,0.213586,0.667124,14,1,0.476662,0.845881,0.120424,0.000000,0.094819
