rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
44,8,-8,6,planar,planar,64,2.299852,-0.457932,-1.632986,3.287943,2.892671,1.900399,0.244223,0.787879,0.320668,1.463035,2,0.753969,0.216389,0.495393,1.714061
45,5,6,3,planar,planar,109,2.037398,-0.252676,-1.277643,1.949093,2.228302,0.874426,0.240474,0.435374,0.189324,1.070219,2,0.314385,0.178134,0.294110,1.660714
46,11,1,0,planar,planar,75,2.015142,-0.129104,-1.352912,2.235051,2.741564,0.539991,0.478007,0.230769,0.103739,1.165823,1,0.627950,0.000000,0.403369,1.579630
47,10,-6,5,planar,planar,39,0.013757,-0.276539,-1.377278,2.159692,4.369993,0.803641,0.678347,0.333333,0.018351,1.682436,1,0.744413,0.000000,0.446733,1.373882
48,6,4,6,planar,planar,16,-1.370420,0.303103,-1.452005,2.228171,4.238149,1.800198,0.418908,0.666667,0.070782,1.698859,2,0.408207,0.273531,0.445795,1.290853
49,-4,8,-1,planar,planar,35,-0.164220,-0.535760,-1.386327,1.913017,2.699783,2.589928,0.332287,0.481013,0.185409,1.244368,2,0.762392,0.296521,0.538340,1.290388
50,-7,-1,5,linear,linear,16,-8.310038,1.777638,-0.266186,1.799977,4.750357,5.124148,0.533636,0.666667,0.030873,1.853742,4,0.463267,0.825570,0.866356,1.275943
51,12,-3,4,linear,linear,15,0.495200,-0.309538,-0.429476,1.716813,1.886920,1.312235,0.002851,0.333333,0.044424,0.770516,2,0.611897,0.213803,0.251480,1.238528
52,11,-11,5,planar,planar,17,1.785359,-0.167401,-1.573632,2.805515,3.005229,0.905992,0.112336,0.666667,0.124178,1.284988,2,0.203226,0.213684,0.223687,1.150033
53,12,-9,5,planar,planar,21,2.188200,-0.107976,-1.617810,2.994983,3.117453,0.416419,0.143132,0.666667,0.123373,1.326561,2,0.221411,0.161121,0.193459,1.001303
54,-7,1,5,planar,planar,41,-4.107251,1.180504,-1.109457,1.671785,2.676704,3.927571,0.352654,0.411348,0.143397,1.195232,3,0.394541,0.681563,0.642331,0.896286
55,-7,2,5,planar,planar,81,-2.447686,0.511981,-1.160568,2.107415,4.251104,1.724182,0.410956,0.666667,0.054545,1.688124,2,0.315038,0.271316,0.437067,0.771597
56,4,6,6,planar,planar,17,0.482868,-0.252134,-1.386620,2.158230,3.484273,0.587315,0.222114,0.666667,0.090329,1.433187,1,0.469677,0.000000,0.403886,0.757472
57,0,-8,6,linear,linear,22,1.571583,-0.641622,-0.297515,1.772187,2.345272,-0.477748,0.121887,0.333333,0.031677,0.931214,1,0.195906,0.000000,0.131601,0.727783
58,6,-11,5,planar,planar,26,-1.994100,0.107135,-1.359979,2.196820,4.940424,1.226498,0.831423,0.333333,0.009409,1.889088,2,0.355878,0.226125,0.311992,0.723156
59,-16,-13,1,planar,planar,35,1.871207,-0.039311,-1.440882,2.247229,1.838784,0.681649,0.000352,0.333333,0.059795,0.767142,1,0.947873,0.000000,0.242729,0.664218
60,-4,-24,-2,planar,planar,16,0.906614,-0.266004,-1.500572,2.239514,3.464928,0.182527,0.437837,0.333333,0.035857,1.357747,2,0.094799,0.132145,0.198978,0.547978
61,10,-12,5,linear,linear,17,0.289810,-0.226876,-0.255883,1.799988,1.920670,0.615612,0.003668,0.333333,0.032334,0.771618,2,0.230154,0.205597,0.080063,0.543345
62,9,-18,3,linear,linear,20,-1.250987,0.072041,-0.326588,1.792695,3.310857,0.442426,0.385486,0.333333,0.022831,1.287072,2,0.274158,0.161058,0.194789,0.455053
63,5,4,6,linear,linear,22,-5.348023,1.728419,-0.247083,1.753866,2.575162,3.239952,0.313098,0.393162,0.106934,1.121828,3,0.402802,0.577291,0.526922,0.194561
64,-2,9,2,planar,planar,45,-0.890220,0.039039,-1.181469,1.823974,1.849472,2.065062,0.172467,0.394366,0.195597,0.933300,2,0.550626,0.290291,0.415413,0.057910
65,-2,11,3,planar,planar,72,2.269657,0.278856,-1.582930,2.715833,1.138152,0.657568,0.000988,0.470588,0.321103,0.785647,1,0.767794,0.000000,0.325427,0.045470
66,-5,-23,-1,planar,planar,22,2.563230,-0.486321,-1.306032,1.845033,1.060000,0.054324,0.000000,0.000000,0.000000,0.400000,2,0.141496,0.136860,0.048139,0.040168
67,8,3,-4,planar,planar,113,-3.259535,1.275213,-1.292219,2.154190,3.354121,2.101655,0.182320,0.666667,0.085540,1.379465,2,0.840988,0.229195,0.476174,0.025045
68,2,6,3,planar,planar,28,-4.561426,1.516365,-1.267112,2.054574,4.474279,1.759090,0.475097,0.907692,0.161296,1.906509,2,0.405110,0.261385,0.474901,-0.133377
69,7,-9,6,planar,planar,64,2.364286,-0.509716,-1.607214,3.273606,1.123487,1.618747,0.200736,0.537010,0.511776,0.995038,2,0.732325,0.197343,0.385596,-0.284016
70,3,5,6,linear,linear,29,-5.815498,1.412327,-0.274340,1.764440,3.806745,2.271995,0.660305,0.344086,0.054970,1.536573,2,0.446533,0.338715,0.442125,-0.363211
71,-4,-13,8,planar,planar,19,1.557408,-0.016143,-1.682082,3.288166,2.843781,0.218758,0.077472,0.666667,0.138579,1.237921,2,0.214636,0.131866,0.177953,-0.366444
72,13,-7,5,planar,planar,22,2.511049,-0.133592,-1.584641,3.017580,1.892848,-0.041072,0.023334,0.333333,0.070835,0.798168,2,0.227574,0.120015,0.085572,-0.372990
73,15,-18,-5,planar,planar,16,1.597087,0.114408,-1.502278,2.243322,1.060000,0.586208,0.000000,0.000000,0.000000,0.400000,1,0.934698,0.000000,0.175139,-0.387899
74,13,-1,-5,planar,planar,35,1.571964,-0.130140,-1.387484,2.245591,1.060000,0.652193,0.000000,0.000000,0.000000,0.400000,1,0.983750,0.000000,0.175139,-0.479058
75,8,3,4,planar,planar,62,0.172924,-0.072561,-1.561727,3.039433,1.885155,2.032285,0.021044,0.333333,0.070640,0.795076,2,0.426630,0.324432,0.315681,-0.583357
76,7,2,5,planar,planar,22,-6.608891,1.790207,-1.011070,1.444326,3.849545,2.812671,0.418369,0.748148,0.144322,1.654427,2,0.414208,0.385504,0.580780,-0.611864
77,-8,-3,5,linear,linear,22,-5.784881,1.752136,-0.340273,1.771743,1.060000,4.428242,0.000000,0.000000,0.000000,0.400000,4,0.575107,0.758930,0.543549,-0.656519
78,-4,-24,-1,planar,planar,24,-1.544613,0.383830,-1.493472,2.242108,3.465675,0.761146,0.437837,0.333333,0.035564,1.357747,3,0.115982,0.252899,0.238978,-0.669543
79,-3,-25,-2,planar,planar,15,1.189373,-0.503091,-1.287619,2.088742,1.893230,0.084521,0.009557,0.333333,0.051357,0.779569,2,0.233456,0.139055,0.071960,-0.712328
80,4,-6,7,linear,linear,72,-0.716709,-0.122116,-0.477783,1.796624,2.735771,-0.642630,0.013863,0.666667,0.091696,1.152049,1,0.163518,0.000000,0.197394,-1.020090
81,4,-8,-4,linear,linear,15,-1.187190,0.625493,-0.423150,1.798859,2.705925,-0.942549,0.001356,0.666667,0.085853,1.135164,1,0.000000,0.000000,0.183894,-1.020330
82,10,-4,6,planar,planar,57,2.075971,0.639576,-1.408682,2.243888,-0.609926,0.455121,0.021988,0.059965,0.411784,0.228978,1,0.809163,0.000000,0.191617,-1.091828
83,6,5,4,planar,planar,153,-0.596647,0.046377,-1.316996,2.196525,1.249707,1.507405,0.034282,0.395280,0.237979,0.747755,2,0.357481,0.270244,0.240703,-1.306680
84,-9,2,0,linear,linear,28,-1.401288,0.439246,-0.436463,1.777364,2.723806,-0.930655,0.008218,0.666667,0.088469,1.144428,1,0.000000,0.000000,0.192389,-1.382719
