vx,vy,vz,center_x,center_y,center_z,num_points,base_label,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty,occupied_face_count,occupied_face_ratio,opposite_face_pair_ratio,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_neighbor_count,junction_cluster_count,junction_entropy,junction_dominant_fraction,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score
-14,-17,0,-13.500000,-16.500000,0.500000,22,planar,planar,0.066692,0.039129,0.000029,0.413281,0.586278,0.000441,0.999559,0.004251,1.898498,82.291760,0.311366,-80.393262,0.268291,5.631471,1.214409,5.363180,2,0.333333,0.000000,0.051137,0.666667,0.127151,1.202368,11,2,0.847880,0.725477,0.084772,0.114386,0.169126
-14,-17,1,-13.500000,-16.500000,1.500000,18,planar,planar,0.058717,0.029285,0.000071,0.501261,0.497530,0.001209,0.998791,0.004960,1.904479,154.885352,0.284790,-152.980873,0.502050,7.770611,1.497702,7.268561,3,0.500000,0.000000,0.037905,1.000000,0.178052,1.551172,15,2,0.707245,0.807223,0.083092,0.093716,0.220856
-14,-16,1,-13.500000,-15.500000,1.500000,17,planar,planar,0.060363,0.024911,0.000049,0.587317,0.411869,0.000813,0.999187,0.004195,1.874732,97.496361,0.280521,-95.621629,0.494441,6.278991,1.494441,5.784550,2,0.333333,0.000000,0.001412,0.666667,0.113036,1.135239,20,1,0.502368,0.826041,0.288087,0.000000,0.221398
-14,-16,2,-13.500000,-15.500000,2.500000,16,planar,planar,0.060575,0.021439,0.000082,0.646081,0.352561,0.001358,0.998642,0.004744,1.889234,30.521178,0.274978,-28.631944,0.470898,4.323768,1.464223,3.852869,2,0.333333,0.333333,0.005792,0.119497,0.191779,0.405932,23,1,0.410296,0.872750,0.299197,0.000000,0.102640
-14,-16,3,-13.500000,-15.500000,3.500000,36,planar,planar,0.134991,0.052292,0.000213,0.612628,0.385795,0.001578,0.998422,0.011456,2.089760,12.503142,0.403845,-10.413382,0.589143,2.153995,1.584020,1.564852,2,0.333333,0.333333,0.005893,0.101449,0.198892,0.386216,19,1,0.280047,0.951487,0.077187,0.000000,0.076471
-14,-16,4,-13.500000,-15.500000,4.500000,30,planar,planar,0.111252,0.054877,0.000542,0.506736,0.488393,0.004871,0.995129,0.014900,2.247145,0.911844,0.379521,1.335300,0.677684,0.038367,1.677684,-0.639316,1,0.166667,0.000000,0.001924,0.333333,0.060910,0.769264,12,1,0.000000,1.000000,0.000000,0.000000,0.089105
-14,-14,0,-13.500000,-13.500000,0.500000,17,linear,linear,0.089147,0.000157,0.000000,0.998237,0.001763,0.000000,1.000000,0.000032,1.058577,145.950006,0.252143,-144.891429,0.368187,10.155195,0.738633,9.787008,1,0.166667,0.000000,0.988829,0.333333,0.000360,2.101585,10,1,0.000000,1.000000,0.000000,0.000000,0.225833
-14,-14,1,-13.500000,-13.500000,1.500000,35,planar,planar,0.094801,0.047951,0.000105,0.494192,0.504699,0.001109,0.998891,0.007819,2.005296,36.813080,0.356184,-34.807784,0.471920,3.267115,1.471920,2.795194,3,0.500000,0.333333,0.330060,0.464286,0.192948,1.222962,13,1,0.423636,0.913806,0.946298,0.000000,0.405699
-14,-14,2,-13.500000,-13.500000,2.500000,39,planar,planar,0.115856,0.047856,0.000048,0.586936,0.412647,0.000417,0.999583,0.006444,1.965301,18.099907,0.379221,-16.134606,0.553341,2.020263,1.550261,1.466922,2,0.333333,0.000000,0.000913,0.666667,0.113210,1.134566,15,1,0.291182,0.948869,0.931248,0.000000,0.350108
-13,-17,0,-12.500000,-16.500000,0.500000,31,planar,planar,0.101566,0.057792,0.001247,0.430991,0.556734,0.012275,0.987725,0.019415,2.446595,8.185061,0.379850,-5.738465,0.858872,1.765671,1.858872,0.906800,2,0.333333,0.000000,0.053204,0.666667,0.122821,1.205159,16,1,0.461394,0.853991,0.139627,0.000000,0.205391
-13,-17,1,-12.500000,-16.500000,1.500000,31,planar,planar,0.097288,0.057162,0.003423,0.412453,0.552367,0.035180,0.964820,0.026700,2.657922,2.404492,0.378135,0.253429,0.945927,0.631385,1.945927,-0.314541,4,0.666667,0.666667,0.054189,0.050517,0.439314,0.262057,20,1,0.375360,0.890548,0.143732,0.000000,0.023169
-13,-17,2,-12.500000,-16.500000,2.500000,36,planar,planar,0.110379,0.057334,0.000915,0.480568,0.511143,0.008289,0.991711,0.017957,2.383573,1.792167,0.387713,0.591406,0.987109,0.745027,1.987109,-0.242082,3,0.500000,0.333333,0.031054,0.333333,0.279754,0.675256,23,1,0.437551,0.857327,0.125667,0.000000,0.141719
-13,-17,3,-12.500000,-16.500000,3.500000,31,planar,planar,0.146110,0.046264,0.000973,0.683363,0.309980,0.006657,0.993343,0.018734,2.385606,3.336336,0.406119,-0.950730,0.675315,0.964955,1.672995,0.289640,2,0.333333,0.333333,0.015792,0.053763,0.180161,0.347126,18,1,0.320028,0.941857,0.087068,0.000000,0.069010
-13,-17,4,-12.500000,-16.500000,4.500000,26,planar,planar,0.088210,0.052852,0.000049,0.400837,0.598607,0.000555,0.999445,0.006112,1.939334,35.759233,0.353319,-33.819900,0.448839,3.608228,1.394192,3.159390,1,0.166667,0.000000,0.003873,0.333333,0.067470,0.771895,11,1,0.000000,1.000000,0.000000,0.000000,0.083010
-13,-15,2,-12.500000,-14.500000,2.500000,22,planar,planar,0.048064,0.035942,0.000206,0.252197,0.743510,0.004293,0.995707,0.007090,2.027059,12.538054,0.278268,-10.510996,0.701824,2.576600,1.695994,1.874776,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,21,1,0.422891,0.868843,0.325339,0.000000,0.090139
-12,-18,0,-11.500000,-17.500000,0.500000,22,planar,planar,0.057674,0.047038,0.000015,0.184412,0.815336,0.000253,0.999747,0.003406,1.886657,121.232845,0.310605,-119.346188,0.596022,6.660516,1.596022,6.064494,2,0.333333,0.000000,0.140294,0.666667,0.138680,1.322730,17,2,0.621076,0.768320,0.153793,0.113360,0.244641
-12,-18,1,-11.500000,-17.500000,1.500000,17,planar,planar,0.058706,0.024069,0.000043,0.590014,0.409246,0.000740,0.999260,0.003945,1.868251,179.323097,0.276372,-177.454847,0.488989,8.254485,1.488142,7.765495,3,0.500000,0.000000,0.015262,1.000000,0.166747,1.520604,20,1,0.522900,0.821573,0.142641,0.000000,0.250295
-12,-18,3,-11.500000,-17.500000,3.500000,23,planar,planar,0.062840,0.039584,0.000191,0.370085,0.626881,0.003034,0.996966,0.007798,2.027659,76.373965,0.306226,-74.346306,0.339253,5.935417,1.292504,5.596164,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,17,1,0.316495,0.942734,0.089856,0.000000,0.065139
-12,-17,1,-11.500000,-16.500000,1.500000,21,planar,planar,0.058987,0.036146,0.000100,0.387223,0.611088,0.001689,0.998311,0.005967,1.949544,153.444648,0.296238,-151.495104,0.382960,7.761723,1.368562,7.378763,3,0.500000,0.000000,0.018267,1.000000,0.201569,1.524661,21,1,0.529838,0.814771,0.139123,0.000000,0.256541
-12,-17,2,-11.500000,-16.500000,2.500000,22,planar,planar,0.058008,0.042037,0.000103,0.275329,0.722897,0.001774,0.998226,0.006308,1.959818,123.737680,0.303731,-121.777862,0.654020,6.993704,1.654020,6.339684,2,0.333333,0.000000,0.007067,0.666667,0.149137,1.142874,23,1,0.427478,0.863909,0.130041,0.000000,0.240600
-11,-19,0,-10.500000,-18.500000,0.500000,21,planar,planar,0.079795,0.035839,0.000343,0.550868,0.444832,0.004301,0.995699,0.009938,2.110454,30.698851,0.317986,-28.588397,0.458614,3.927649,1.357963,3.469036,2,0.333333,0.000000,0.111169,0.666667,0.103904,1.283412,14,1,0.419436,0.915035,0.254284,0.000000,0.212359
-11,-19,1,-10.500000,-18.500000,1.500000,23,planar,planar,0.059144,0.049807,0.000354,0.157871,0.836144,0.005985,0.994015,0.010140,2.128372,59.037027,0.316801,-56.908654,0.752299,5.439793,1.752074,4.687494,3,0.500000,0.000000,0.016492,1.000000,0.241092,1.522264,16,1,0.345567,0.935367,0.251559,0.000000,0.219658
-11,-18,0,-10.500000,-17.500000,0.500000,17,planar,planar,0.059206,0.045965,0.001861,0.223643,0.744918,0.031438,0.968562,0.017174,2.458931,49.811079,0.312121,-47.352149,0.885736,4.664078,1.885736,3.778342,3,0.500000,0.000000,0.197145,1.000000,0.181749,1.766145,14,1,0.000000,1.000000,0.000000,0.000000,0.287874
