rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
127,6,4,3,planar,109,0.700840,-0.226993,-2.038759,2.779004,0.000000,0.127870,0.389958,0.445547,0.734912,-4.343916
128,6,10,1,planar,36,-0.088589,0.035584,-1.945686,2.366995,0.000000,0.141652,0.182823,0.414470,0.525669,-4.365685
129,0,-4,-2,planar,411,1.695486,0.235749,-2.578000,3.749001,0.000000,0.000023,0.249742,0.624148,0.408081,-4.395765
130,6,-4,3,planar,74,0.680687,-0.274613,-2.088049,2.718940,0.000000,0.062911,0.217646,0.472803,0.457674,-4.400914
131,-5,9,8,linear,18,-2.989976,0.863694,-0.477904,1.797312,0.000000,0.057693,0.180791,0.273323,0.410089,-4.401498
132,6,6,-1,planar,112,0.190616,-0.394924,-1.920454,2.286372,0.000000,0.121680,0.187483,0.426896,0.503832,-4.411134
133,6,-1,3,planar,229,1.811054,0.095098,-2.642808,3.737429,0.000000,0.074768,0.065554,0.593268,0.306379,-4.474086
134,1,-6,-2,planar,104,0.334724,-0.302670,-2.030786,2.486581,0.000000,0.000066,0.145777,0.488658,0.293776,-4.485313
135,6,4,0,planar,177,0.119373,-0.409499,-1.938275,2.270592,0.000000,0.113442,0.097893,0.443314,0.394163,-4.498993
136,6,0,0,planar,195,-1.155408,0.112542,-1.575150,1.888848,0.000000,0.245639,0.245683,0.299124,0.735196,-4.506865
137,0,-11,8,linear,24,-4.952595,2.516013,-0.296238,1.785379,0.000000,0.022458,0.333333,0.033114,0.796985,-4.518199
138,5,4,4,planar,49,-1.360596,0.157137,-1.623958,1.702495,0.000000,0.254202,0.032787,0.154290,0.645905,-4.529913
139,-6,7,8,planar,35,-0.008493,-0.247665,-1.949933,2.333677,0.000000,0.009767,0.403101,0.301494,0.723263,-4.539768
140,2,4,-2,planar,147,1.348799,0.206212,-2.396041,3.738541,0.000000,0.000034,0.252319,0.579098,0.410930,-4.579571
141,-4,11,7,planar,27,1.770169,-0.194019,-2.553747,3.715644,0.000000,0.468126,0.333333,0.045418,1.398637,-4.693242
142,0,-3,-2,planar,923,1.573645,0.127656,-2.677335,3.748654,0.000000,0.000081,0.192569,0.648737,0.345268,-4.724687
143,-12,-7,8,planar,17,0.504347,0.030326,-2.165992,3.104496,0.000000,0.016764,0.035088,0.260236,0.327894,-4.735815
144,-7,-11,8,planar,22,-0.820419,0.086552,-1.796624,2.216305,0.000000,0.053816,0.083333,0.205087,0.430984,-4.746796
145,1,6,-2,planar,63,-0.266133,-0.220418,-1.975743,2.299404,0.000000,0.006571,0.182545,0.472010,0.343003,-4.761697
146,6,1,1,planar,266,1.120655,-0.059121,-2.354603,3.523528,0.000000,0.005968,0.137710,0.578577,0.292872,-4.816597
147,1,-2,-2,planar,1447,1.490530,0.136911,-2.715481,3.748297,0.000000,0.083011,0.207443,0.603623,0.473585,-4.836337
