rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
180,12,-3,0,planar,45,-2.842669,0.706781,-1.500105,2.108905,-5.744898
181,6,11,2,planar,29,-3.047608,0.530991,-1.425086,1.825290,-5.766995
182,-10,4,8,planar,41,-1.035190,0.277190,-2.150342,2.939086,-5.847428
183,1,-5,-2,planar,171,0.486534,-0.103282,-2.499147,3.749106,-5.865001
184,0,1,-2,planar,1065,-2.422239,0.310371,-1.514642,2.246830,-5.873339
185,3,-6,4,planar,48,-1.889902,0.123056,-1.895357,2.222995,-5.885199
186,-6,10,8,planar,17,-2.680616,0.659541,-1.808682,2.071219,-5.900977
187,-12,7,8,linear,19,-3.857937,0.304074,-0.598342,1.797015,-5.949220
188,6,-5,3,planar,72,0.149357,-0.055475,-2.507707,3.553313,-5.967138
189,0,-8,4,planar,162,-2.388852,0.386109,-1.870916,2.112397,-5.986056
190,0,-10,7,planar,63,-2.371195,0.493330,-1.912317,2.244974,-6.035156
191,-10,2,8,planar,25,-3.329818,1.152902,-1.659643,2.225872,-6.062431
192,-2,18,0,planar,35,-2.391388,0.346938,-1.842612,2.188159,-6.075222
193,-1,11,3,linear,52,-5.028284,1.206412,-0.513986,1.760239,-6.096096
194,2,-5,4,planar,120,-1.517398,0.661890,-2.178469,3.068308,-6.102285
195,6,-11,2,planar,24,-1.786858,0.754182,-2.135521,3.012384,-6.180581
196,-9,1,8,planar,61,-2.740360,0.623976,-1.895536,2.235395,-6.247314
197,3,2,4,planar,171,-3.978095,0.855901,-1.230605,1.907574,-6.260374
198,1,7,-2,linear,47,-5.010357,0.810462,-0.278028,1.799961,-6.277883
199,-1,-7,-2,planar,98,-0.450862,-0.144258,-2.295354,3.393545,-6.284019
