rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,-4,-2,corner_like,135,2.831631,0.100660,1.432588,0.282094,4.082786
1,7,3,-2,corner_like,72,2.697826,-0.393027,1.736315,0.248404,3.792710
2,5,-5,-2,volumetric,88,2.625971,-0.370562,1.059546,0.110980,3.203975
3,5,-3,-2,corner_like,138,2.414975,-0.549873,1.377590,0.293579,2.949113
4,5,-1,-1,corner_like,240,1.981447,-0.770549,1.723060,0.163525,2.770432
5,2,0,-2,corner_like,1132,1.359549,-0.502005,1.881114,0.108046,2.630613
6,7,-2,5,corner_like,80,1.424026,-0.638463,1.791295,0.177323,2.399536
7,7,-16,2,corner_like,44,0.867546,-0.215197,1.830652,0.103266,2.379735
8,-4,14,8,corner_like,28,0.647380,-0.089551,1.679552,0.130020,2.107360
9,1,-10,5,corner_like,91,1.444110,-0.604389,1.214760,0.335159,1.719321
10,3,-7,5,corner_like,25,0.830991,-0.614049,1.635964,0.142387,1.710519
11,2,-1,-2,corner_like,1069,0.355202,-0.129839,1.604064,0.157436,1.671991
12,8,3,-1,corner_like,153,0.744971,-0.441260,1.544847,0.206515,1.642044
13,7,6,5,corner_like,23,-0.345107,0.459398,1.780284,0.261347,1.633228
14,4,-7,5,corner_like,41,0.305865,0.144410,1.256291,0.331435,1.375130
15,7,-1,1,corner_like,118,-0.260107,0.540195,1.125936,0.414362,0.991662
16,7,-6,3,corner_like,45,-0.929998,0.521572,1.442713,0.245155,0.789132
17,7,-2,3,corner_like,85,-0.773455,-0.221592,1.868159,0.111460,0.761652
18,6,18,-2,corner_like,29,-1.056628,0.622061,1.437549,0.293076,0.709905
19,5,-2,-2,corner_like,99,-1.939042,0.614289,1.928351,0.205066,0.398532
20,8,2,-1,corner_like,178,0.105453,-0.322353,1.071285,0.456495,0.397891
21,7,-3,3,corner_like,71,-0.954244,-0.192823,1.474905,0.207186,0.120652
22,7,2,5,corner_like,65,-2.003504,0.375652,1.723063,0.342261,-0.247051
23,7,2,3,corner_like,33,-3.144906,1.043863,1.965809,0.139817,-0.275051
24,7,-11,2,corner_like,31,-3.703532,1.627132,1.888258,0.149291,-0.337432
25,-6,-10,10,planar,38,2.536938,-0.342031,-1.871027,0.678462,-0.354583
26,8,2,-2,corner_like,111,-2.253107,0.267157,1.688437,0.186128,-0.483642
27,-8,-10,10,planar,36,2.501399,-0.420626,-1.849696,0.751053,-0.519977
28,6,-4,-2,planar,41,2.101778,-0.343024,-1.579736,0.784180,-0.605161
29,3,-6,5,planar,54,2.248237,-0.540058,-1.686768,0.673907,-0.652496
30,-1,-10,6,linear,28,1.245557,-0.466629,-0.683434,0.873746,-0.778253
31,6,-8,-2,linear,21,0.755379,-0.456746,-0.557172,0.899991,-1.158530
32,-9,-10,10,planar,26,2.636636,-0.293443,-2.222354,1.343274,-1.222436
33,7,-9,-2,linear,28,0.325785,-0.062492,-0.627809,0.899998,-1.264515
34,-11,4,10,planar,35,2.121766,-0.296482,-2.008968,1.108779,-1.292462
35,6,18,1,planar,21,2.228395,-0.406737,-2.067090,1.065929,-1.311362
36,4,-9,5,planar,26,2.010481,-0.749058,-1.770630,0.901061,-1.410268
37,4,6,5,corner_like,60,-4.013878,1.208461,1.581715,0.216169,-1.439871
38,-8,11,10,planar,20,1.775752,-0.370267,-1.825828,1.116246,-1.536588
39,8,3,-2,corner_like,80,-4.498345,1.192156,1.890164,0.150000,-1.566025
40,7,-2,2,planar,45,1.643252,-0.448253,-1.734474,1.046077,-1.585552
41,7,-4,2,planar,70,2.043184,-0.915118,-1.697058,1.028696,-1.597688
42,-1,14,8,linear,24,-1.394895,1.132894,-0.546399,0.844309,-1.652708
43,4,-13,5,planar,28,1.933198,-1.047255,-1.665759,0.925868,-1.705684
44,7,-1,2,planar,107,0.120307,0.575608,-1.710234,0.744767,-1.759086
45,4,-8,5,planar,41,1.639161,-0.750166,-1.837187,0.818738,-1.766930
46,-5,-10,10,planar,39,1.711591,-0.592612,-1.828256,1.101613,-1.810890
47,-11,9,10,linear,22,-0.474150,0.059817,-0.525803,0.899970,-1.840105
48,6,-3,-2,planar,38,0.723903,0.079266,-1.958242,0.895130,-2.050203
49,3,-10,5,planar,44,1.917134,-0.811796,-2.098581,1.079234,-2.072477
50,-2,14,8,planar,38,1.707357,-0.191694,-2.279461,1.348886,-2.112685
