rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,-4,-2,corner_like,135,2.831631,0.379674,1.432588,0.282094,4.361799
1,7,3,-2,corner_like,72,2.697826,-0.124000,1.736315,0.248404,4.061738
2,5,-3,-2,corner_like,138,2.414975,0.116827,1.377590,0.293579,3.615813
3,5,-5,-2,volumetric,88,2.625971,-0.046633,1.059546,0.110980,3.527904
4,5,-1,-1,corner_like,240,1.981447,-0.247003,1.723060,0.163525,3.293977
5,7,-2,5,corner_like,80,1.424026,-0.314075,1.791295,0.177323,2.723924
6,2,0,-2,corner_like,1132,1.359549,-0.445520,1.881114,0.108046,2.687098
7,7,-16,2,corner_like,44,0.867546,-0.357627,1.830652,0.103266,2.237305
8,-4,14,8,corner_like,28,0.647380,-0.177405,1.679552,0.130020,2.019507
9,1,-10,5,corner_like,91,1.444110,-0.371273,1.214760,0.335159,1.952437
10,3,-7,5,corner_like,25,0.830991,-0.439314,1.635964,0.142387,1.885254
11,5,1,5,corner_like,15,0.933009,-0.399913,1.507178,0.211306,1.828968
12,8,3,-1,corner_like,153,0.744971,-0.415116,1.544847,0.206515,1.668187
13,7,6,5,corner_like,23,-0.345107,0.384182,1.780284,0.261347,1.558011
14,2,-1,-2,corner_like,1069,0.355202,-0.286224,1.604064,0.157436,1.515607
15,4,-7,5,corner_like,41,0.305865,0.122148,1.256291,0.331435,1.352869
16,7,-2,3,corner_like,85,-0.773455,-0.193133,1.868159,0.111460,0.790111
17,7,-1,1,corner_like,118,-0.260107,0.186746,1.125936,0.414362,0.638213
18,6,18,-2,corner_like,29,-1.056628,0.491049,1.437549,0.293076,0.578894
19,8,2,-1,corner_like,178,0.105453,-0.251658,1.071285,0.456495,0.468585
20,7,-3,3,corner_like,71,-0.954244,-0.022578,1.474905,0.207186,0.290897
21,7,-6,3,corner_like,45,-0.929998,-0.059897,1.442713,0.245155,0.207663
22,5,-2,-2,corner_like,99,-1.939042,0.372664,1.928351,0.205066,0.156907
23,-8,-10,10,planar,36,2.501399,0.110118,-1.849696,0.751053,0.010767
24,-7,11,10,linear,15,1.555266,0.063074,-0.758954,0.894556,-0.035170
25,-6,-10,10,planar,38,2.536938,-0.057947,-1.871027,0.678462,-0.070499
26,3,-6,5,planar,54,2.248237,-0.112274,-1.686768,0.673907,-0.224712
27,6,-4,-2,planar,41,2.101778,-0.042778,-1.579736,0.784180,-0.304916
28,7,2,5,corner_like,65,-2.003504,0.221727,1.723063,0.342261,-0.400975
29,8,2,-2,corner_like,111,-2.253107,0.258190,1.688437,0.186128,-0.492609
30,7,2,3,corner_like,33,-3.144906,0.698862,1.965809,0.139817,-0.620052
31,-9,-10,10,planar,26,2.636636,0.264569,-2.222354,1.343274,-0.664424
32,-1,-10,6,linear,28,1.245557,-0.504281,-0.683434,0.873746,-0.815905
33,-9,12,10,planar,17,2.028340,0.291431,-2.047921,1.117353,-0.845503
34,6,-8,-2,linear,21,0.755379,-0.161323,-0.557172,0.899991,-0.863106
35,5,5,5,linear,15,0.872617,-0.375526,-0.562826,0.832849,-0.898584
36,4,-13,5,planar,28,1.933198,-0.275073,-1.665759,0.925868,-0.933502
37,7,-11,2,corner_like,31,-3.703532,0.997552,1.888258,0.149291,-0.967012
38,4,-9,5,planar,26,2.010481,-0.355525,-1.770630,0.901061,-1.016735
39,6,18,1,planar,21,2.228395,-0.141000,-2.067090,1.065929,-1.045624
40,-11,4,10,planar,35,2.121766,-0.084239,-2.008968,1.108779,-1.080220
41,7,-4,2,planar,70,2.043184,-0.476566,-1.697058,1.028696,-1.159136
42,7,-9,-2,linear,28,0.325785,-0.093242,-0.627809,0.899998,-1.295264
43,-10,5,10,planar,29,2.475242,0.072794,-2.345015,1.647621,-1.444600
44,-8,11,10,planar,20,1.775752,-0.291014,-1.825828,1.116246,-1.457335
45,15,-1,-1,linear,18,0.361218,-0.453551,-0.562392,0.833181,-1.487905
46,-10,-9,10,linear,16,0.089544,-0.125146,-0.558985,0.899958,-1.494544
47,-5,-10,10,planar,39,1.711591,-0.278199,-1.828256,1.101613,-1.496477
48,4,-8,5,planar,41,1.639161,-0.505347,-1.837187,0.818738,-1.522111
49,7,-2,2,planar,45,1.643252,-0.436093,-1.734474,1.046077,-1.573392
50,4,6,5,corner_like,60,-4.013878,0.885140,1.581715,0.216169,-1.763192
51,8,3,-2,corner_like,80,-4.498345,0.961568,1.890164,0.150000,-1.796613
52,-5,-14,10,linear,19,0.000852,-0.308544,-0.686569,0.887418,-1.881679
53,-7,13,10,planar,16,1.715979,-0.593261,-1.892325,1.116470,-1.886077
54,-11,9,10,linear,22,-0.474150,0.012282,-0.525803,0.899970,-1.887641
55,7,-1,2,planar,107,0.120307,0.446138,-1.710234,0.744767,-1.888556
56,8,13,-1,planar,25,1.833951,-0.578637,-2.074549,1.096104,-1.915340
57,-12,8,10,planar,18,1.476666,-0.215154,-2.070332,1.120193,-1.929012
58,-2,14,8,planar,38,1.707357,-0.026940,-2.279461,1.348886,-1.947931
59,3,-10,5,planar,44,1.917134,-0.727309,-2.098581,1.079234,-1.987990
60,-7,-10,10,planar,34,1.406872,-0.378101,-2.093562,1.088910,-2.153701
61,6,-3,-2,planar,38,0.723903,-0.026382,-1.958242,0.895130,-2.155851
62,8,13,0,planar,17,1.544464,-0.710229,-1.933612,1.066517,-2.165894
63,6,17,0,planar,23,1.825062,-0.476708,-2.216623,1.298549,-2.166820
64,15,-2,-1,linear,21,-0.403460,-0.390585,-0.501483,0.900000,-2.195528
65,-12,3,10,linear,27,-0.454990,-0.121632,-0.795821,0.896735,-2.269178
66,3,-5,5,planar,58,1.911535,0.037896,-2.431930,1.791418,-2.273917
67,-8,8,10,planar,21,1.091288,-0.357984,-1.932720,1.085460,-2.284876
68,-11,3,10,planar,45,1.075359,-0.052283,-2.190186,1.139470,-2.306580
69,7,4,2,planar,25,1.070042,-0.518444,-1.867945,0.999102,-2.315450
70,-13,9,10,linear,16,-0.785892,-0.175978,-0.515967,0.899968,-2.377805
71,-9,8,10,planar,21,1.300355,-0.485783,-2.120021,1.089047,-2.394496
72,0,-10,5,planar,95,1.039384,-0.269423,-2.084453,1.084442,-2.398934
73,6,-13,-2,planar,17,1.383186,-0.685684,-2.017618,1.084351,-2.404467
74,-7,8,10,planar,24,1.911096,-0.621968,-2.252868,1.470696,-2.434436
75,-10,4,10,planar,34,1.682239,-0.076305,-2.400467,1.653139,-2.447671
76,-7,10,10,planar,24,1.175167,-0.655009,-1.861523,1.114670,-2.456035
77,4,-4,5,planar,135,0.781849,-0.457758,-1.981805,0.812008,-2.469722
78,-6,9,10,planar,29,0.879022,-0.365218,-1.891714,1.114657,-2.492567
79,-1,14,8,linear,24,-1.394895,0.263597,-0.546399,0.844309,-2.522005
80,-12,5,10,linear,21,-1.194731,0.062439,-0.506308,0.899945,-2.538545
81,6,-13,0,planar,23,1.874387,-0.114764,-2.493998,1.867533,-2.601908
82,-6,10,10,planar,20,1.078673,-0.605651,-2.003791,1.096366,-2.627134
83,-11,1,10,planar,36,0.843953,-0.388163,-1.989560,1.118057,-2.651826
84,-5,13,10,planar,22,0.057305,0.190989,-1.799646,1.107398,-2.658750
85,3,-9,5,planar,28,1.800962,-0.092891,-2.520430,1.857031,-2.669390
86,-12,4,10,planar,32,1.569191,-0.392809,-2.351029,1.539233,-2.713880
87,2,-13,5,linear,33,-1.647326,0.558579,-0.734060,0.892231,-2.715038
88,-13,5,10,planar,23,1.535336,-0.703682,-2.249291,1.311858,-2.729496
89,8,11,-2,planar,26,0.623025,-0.268200,-1.992933,1.118435,-2.756542
90,2,-12,5,linear,16,-1.904332,0.603111,-0.624678,0.894609,-2.820508
91,-3,10,10,planar,40,0.312151,-0.146226,-1.871567,1.116388,-2.822031
92,3,-8,5,planar,42,1.500004,-0.281301,-2.404258,1.674933,-2.860489
93,-3,14,4,planar,50,1.137105,-0.357823,-2.265666,1.431143,-2.917526
94,7,-3,5,planar,52,-0.429247,0.099721,-1.649074,1.006307,-2.984906
95,-10,-5,10,planar,21,1.009180,-0.319645,-2.293497,1.388519,-2.992482
96,-2,14,4,planar,51,0.850288,-0.265986,-2.260345,1.318955,-2.994998
97,2,-7,5,planar,44,-0.075461,0.059142,-1.966113,1.037207,-3.019640
98,8,10,-2,planar,30,-0.356391,0.221137,-1.840841,1.060945,-3.037040
99,4,-6,5,planar,64,-0.273735,-0.130995,-1.813916,0.819463,-3.038109
100,4,-5,5,planar,85,-0.107049,0.024129,-1.975046,0.987632,-3.045597
101,6,-13,-1,planar,24,1.492863,-0.129326,-2.579718,1.872113,-3.088295
102,4,-10,5,planar,30,1.008282,-0.388953,-2.367530,1.352757,-3.100959
103,-7,9,10,planar,24,-0.207150,0.324403,-2.141188,1.095872,-3.119806
104,4,4,5,planar,96,-0.099872,-0.094816,-2.049096,0.883405,-3.127189
105,-3,11,10,planar,49,0.849739,-0.221336,-2.313662,1.442178,-3.127438
106,-5,9,10,planar,45,0.953844,-0.481066,-2.266869,1.343872,-3.137963
107,-5,12,10,linear,15,-2.041275,0.286794,-0.514268,0.899961,-3.168709
108,5,-11,-2,linear,20,-2.093139,0.365561,-0.559325,0.899997,-3.186900
109,0,-10,6,planar,63,0.010347,-0.155116,-1.941612,1.109669,-3.196050
110,4,5,5,planar,77,-0.661301,-0.005531,-1.898706,0.663430,-3.228968
111,5,-4,-1,linear,94,-2.452705,0.471047,-0.466319,0.781305,-3.229281
112,-4,10,10,planar,41,1.568934,-0.497088,-2.498488,1.839531,-3.266174
113,-9,5,10,linear,31,-4.228639,2.431217,-0.574207,0.896820,-3.268450
114,7,2,2,linear,48,-2.188990,0.186387,-0.495715,0.817071,-3.315389
115,4,3,5,planar,129,-0.301526,-0.000427,-2.081201,0.980358,-3.363511
116,5,-2,-1,planar,111,-0.841340,0.177386,-1.841810,0.866200,-3.371964
117,-4,12,10,planar,37,0.248600,-0.240223,-2.209902,1.187651,-3.389176
118,8,8,-1,planar,66,0.098036,-0.318247,-2.128918,1.137357,-3.486486
119,6,-5,-2,linear,46,-2.481656,0.632971,-0.766926,0.898049,-3.513660
120,7,-7,2,planar,30,-1.061433,0.392571,-1.832416,1.026118,-3.527396
121,2,-10,5,planar,57,1.242164,-0.631153,-2.422320,1.770169,-3.581479
122,5,-9,-2,linear,32,-2.918051,0.786574,-0.561982,0.899994,-3.593454
