vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
6,5,0,6.500000,5.500000,0.500000,115,corner_like,0.070536,0.050889,0.014918,0.278542,0.509964,0.211494,0.788506,0.037692,2.878675,2.138793,0.347488,0.739882,0.439121,0.220376,1.305272,-0.218745
6,5,1,6.500000,5.500000,1.500000,99,planar,0.096639,0.042107,0.000610,0.564285,0.429401,0.006314,0.993686,0.013541,2.321812,11.125885,0.344821,-8.804073,0.506964,2.151434,1.350288,1.644470
6,5,2,6.500000,5.500000,2.500000,58,volumetric,0.106577,0.041709,0.032091,0.608649,0.090246,0.301105,0.698895,0.052250,2.886431,0.714104,0.380848,2.172327,0.506877,0.250399,1.307340,-0.256479
6,5,3,6.500000,5.500000,3.500000,16,planar,0.057681,0.019699,0.001091,0.658480,0.322615,0.018906,0.981094,0.010741,2.302775,1.773887,0.264745,0.528888,0.683097,0.504500,1.681297,-0.178597
6,5,4,6.500000,5.500000,4.500000,15,linear,0.060717,0.002567,0.000164,0.957722,0.039569,0.002708,0.997292,0.002948,1.721693,76.280601,0.223446,-74.558909,0.374678,7.089510,1.369324,6.714832
6,6,-2,6.500000,6.500000,-1.500000,35,linear,0.092710,0.007848,0.000405,0.915352,0.080282,0.004366,0.995634,0.006653,2.102611,31.636354,0.283869,-29.533742,0.437522,4.838932,1.339100,4.401409
6,6,-1,6.500000,6.500000,-0.500000,112,planar,0.108881,0.076315,0.008333,0.299093,0.624374,0.076533,0.923467,0.041063,2.845186,2.654570,0.410404,0.190616,0.643977,0.249054,1.558652,-0.394924
6,6,0,6.500000,6.500000,0.500000,90,planar,0.088179,0.066650,0.007746,0.244155,0.668005,0.087840,0.912160,0.035706,2.827888,0.743241,0.379288,2.084648,0.615491,0.295282,1.476694,-0.320209
6,6,1,6.500000,6.500000,1.500000,108,planar,0.087866,0.078729,0.000052,0.103980,0.895428,0.000592,0.999408,0.007112,2.006884,18.747413,0.381427,-16.740530,0.268216,1.947484,0.991987,1.679268
6,6,2,6.500000,6.500000,2.500000,60,corner_like,0.111987,0.055943,0.014635,0.500456,0.368858,0.130686,0.869314,0.045092,2.861136,0.739752,0.400799,2.121384,0.487976,0.431706,1.474481,-0.056270
6,7,-2,6.500000,7.500000,-1.500000,54,planar,0.087673,0.032212,0.003186,0.632586,0.331076,0.036338,0.963662,0.020799,2.669349,11.547030,0.323659,-8.877681,0.478719,1.769335,1.405727,1.290616
6,7,-1,6.500000,7.500000,-0.500000,86,planar,0.093405,0.079272,0.005031,0.151310,0.794822,0.053867,0.946133,0.033399,2.778465,5.265571,0.395842,-2.487106,0.572155,0.769373,1.508774,0.197219
6,7,0,6.500000,7.500000,0.500000,83,planar,0.090487,0.082962,0.005899,0.083162,0.851652,0.065186,0.934814,0.035378,2.798078,0.230422,0.399222,2.567656,0.515453,0.593801,1.408922,0.078348
6,7,1,6.500000,7.500000,1.500000,89,planar,0.095608,0.069827,0.000047,0.269651,0.729859,0.000490,0.999510,0.006789,1.997607,21.134050,0.382877,-19.136443,0.307500,2.066198,1.061372,1.758698
6,7,2,6.500000,7.500000,2.500000,35,volumetric,0.064552,0.034814,0.025171,0.460681,0.149385,0.389934,0.610066,0.038388,2.835224,1.830772,0.321703,1.004453,0.468468,0.322401,1.336264,-0.146068
6,7,4,6.500000,7.500000,4.500000,15,linear,0.071659,0.007833,0.000731,0.890695,0.099098,0.010207,0.989793,0.007432,2.142433,52.885573,0.223533,-50.743140,0.725027,5.397351,1.347382,4.672324
6,8,-2,6.500000,8.500000,-1.500000,21,planar,0.126013,0.040133,0.000219,0.681515,0.316751,0.001734,0.998266,0.010339,2.044917,58.116438,0.365034,-56.071520,0.427031,4.982490,1.236632,4.555459
6,8,-1,6.500000,8.500000,-0.500000,69,planar,0.105522,0.072230,0.002745,0.315502,0.658486,0.026012,0.973988,0.027554,2.670647,8.098066,0.399790,-5.427419,0.541186,0.961256,1.427885,0.420070
6,8,0,6.500000,8.500000,0.500000,52,planar,0.111126,0.066218,0.002602,0.404112,0.572475,0.023413,0.976587,0.026752,2.646669,5.377105,0.397328,-2.730436,0.512238,0.766070,1.382952,0.253832
6,8,1,6.500000,8.500000,1.500000,65,planar,0.119731,0.071923,0.002395,0.399290,0.580705,0.020005,0.979995,0.027425,2.642192,3.578008,0.415265,-0.935816,0.620068,0.472029,1.553259,-0.148039
6,8,2,6.500000,8.500000,2.500000,38,corner_like,0.153848,0.055811,0.026170,0.637235,0.192664,0.170101,0.829899,0.060795,2.861788,1.212851,0.467026,1.648937,0.815511,0.063327,1.815511,-0.752185
6,8,3,6.500000,8.500000,3.500000,21,linear,0.106368,0.005073,0.000203,0.952304,0.045789,0.001907,0.998093,0.004783,1.899651,105.572697,0.289325,-103.673046,0.388007,7.359889,1.214099,6.971882
6,9,-2,6.500000,9.500000,-1.500000,17,linear,0.088594,0.000521,0.000000,0.994114,0.005886,0.000000,1.000000,0.000069,1.253270,116.487062,0.248076,-115.233792,0.343355,9.561274,0.909627,9.217918
