rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
106,-10,-5,8,planar,44,2.019771,0.590246,-2.223717,3.157181,-2.654970,0.075968,0.260904,0.496101,0.522884,-5.425852
107,0,-9,-2,linear,40,-2.964928,2.060637,-0.610571,1.795616,-2.117197,0.019336,0.194658,0.316843,0.373562,-5.427674
108,-4,-11,8,planar,46,0.104736,-0.047889,-1.962204,2.289336,-1.247438,0.064911,0.013889,0.221368,0.369574,-5.442131
109,0,-6,-2,planar,114,1.737275,0.304321,-2.097166,2.714325,-2.681923,0.000096,0.222967,0.505085,0.378727,-5.451818
110,5,4,4,planar,49,-1.360596,0.157137,-1.623958,1.702495,-1.046205,0.254202,0.032787,0.154290,0.645905,-5.576117
111,-9,-7,8,planar,38,1.318623,-0.235189,-1.928425,2.240466,-2.518520,0.028951,0.046474,0.450618,0.223538,-5.603977
112,0,-2,-2,planar,1051,-0.129333,-0.073587,-1.671070,2.246664,-1.514480,0.000158,0.393902,0.254827,0.700172,-5.635133
113,6,-13,1,corner_like,26,-7.071113,1.584804,0.742647,0.458098,-0.461362,0.437412,0.666667,0.042676,1.723839,-5.663122
114,-4,18,2,planar,22,-0.018581,0.062775,-1.926324,2.240030,-1.628044,0.009625,0.410256,0.292681,0.730942,-5.750203
115,1,-10,6,linear,17,-4.407690,1.248565,-0.513773,1.799258,-0.288845,0.008499,0.333333,0.040726,0.778140,-5.761002
116,6,7,0,planar,83,2.567656,0.078348,-2.343721,3.312758,-2.756112,0.097684,0.094916,0.529815,0.369614,-5.766587
117,6,-9,2,planar,29,-1.420914,0.486976,-1.368168,1.521034,-1.948882,0.256423,0.130890,0.260739,0.623483,-5.772023
118,6,-13,3,linear,16,-3.925097,1.010872,-0.658036,1.780378,-0.544309,0.240010,0.666667,0.070325,1.457346,-5.896948
119,-7,-11,8,planar,22,-0.820419,0.086552,-1.796624,2.216305,-1.198593,0.053816,0.083333,0.205087,0.430984,-5.945389
120,-8,-5,8,planar,57,2.277379,0.189290,-2.308372,3.477022,-2.721316,0.075360,0.281385,0.518217,0.544593,-6.040042
121,-11,-5,8,planar,18,-1.251559,0.010233,-1.864459,2.234278,-0.701858,0.004571,0.666667,0.122841,1.139505,-6.041921
122,-9,-5,8,planar,55,1.716467,0.052999,-2.180304,3.005556,-2.669856,0.047423,0.068545,0.501063,0.272755,-6.086250
123,-1,11,7,planar,19,-1.296226,0.377982,-1.783207,2.228174,-1.164633,0.494817,0.363636,0.138211,1.334670,-6.094258
124,-12,-7,8,planar,17,0.504347,0.030326,-2.165992,3.104496,-1.364042,0.016764,0.035088,0.260236,0.327894,-6.099857
125,6,2,0,planar,243,2.191695,-0.063951,-2.203626,3.308475,-2.737082,0.045823,0.083798,0.523472,0.287373,-6.121439
126,-12,7,8,linear,19,-3.857937,0.131065,-0.598342,1.797015,-0.000000,0.000000,0.000000,0.000000,0.400000,-6.122229
127,-9,-4,8,linear,30,-1.946764,0.205445,-0.606293,1.796854,-2.039146,0.096526,0.050622,0.290826,0.319328,-6.183612
128,-6,7,8,planar,35,-0.008493,-0.247665,-1.949933,2.333677,-1.654481,0.009767,0.403101,0.301494,0.723263,-6.194249
129,12,-3,0,planar,45,-2.842669,0.861015,-1.500105,2.108905,-0.629155,0.028854,0.666667,0.098607,1.172286,-6.219819
130,-6,-11,8,planar,25,-1.336654,0.282129,-1.763389,2.227716,-1.194228,0.040124,0.021277,0.203632,0.344238,-6.239857
131,-10,2,8,planar,25,-3.329818,1.623083,-1.659643,2.225872,-0.659198,0.009452,0.666667,0.108622,1.146093,-6.251448
132,6,3,3,planar,94,2.233836,0.393812,-2.429010,3.726754,-2.736202,0.112039,0.199935,0.523178,0.504514,-6.264318
133,12,-2,-1,linear,21,-5.062323,1.694950,-0.318400,1.791675,-0.799517,0.036371,1.000000,0.099839,1.549101,-6.276965
134,3,-3,4,planar,161,-2.488948,0.247623,-1.224541,1.831434,-0.995485,0.120174,0.033467,0.137384,0.465715,-6.292784
135,-8,6,8,planar,18,-1.799083,0.648227,-1.518382,2.209212,-1.435521,0.018548,0.365079,0.228507,0.693293,-6.313971
136,-11,-7,8,planar,17,1.727201,-0.300272,-2.145509,2.959465,-2.640094,0.056939,0.155262,0.491142,0.380989,-6.318140
137,-5,9,8,linear,18,-2.989976,0.863694,-0.477904,1.797312,-1.986635,0.057693,0.180791,0.273323,0.410089,-6.388133
138,-9,1,8,planar,61,-2.740360,0.809797,-1.895536,2.235395,-0.352984,0.010228,0.333333,0.062106,0.780474,-6.414478
