rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
184,-1,11,6,planar,36,-5.562141,1.413998,-1.546278,2.109943,1.834186,0.317490,0.365297,0.164177,1.097105,-5.970177
185,6,-3,3,planar,150,1.025098,-0.345825,-2.317880,3.506458,-0.840985,0.069232,0.287403,0.522564,0.542939,-5.986051
186,4,-2,4,linear,43,-7.401244,1.700401,-0.458117,1.705245,1.808500,0.365791,0.167785,0.093576,0.945048,-6.055704
187,1,-2,-2,planar,1447,1.490530,0.136911,-2.715481,3.748297,-1.277812,0.083011,0.207443,0.603623,0.473585,-6.114150
188,6,-1,3,planar,229,1.811054,0.095098,-2.642808,3.737429,-1.662171,0.074768,0.065554,0.593268,0.306379,-6.136257
189,-1,-5,-2,planar,153,-1.057839,-0.057235,-1.797553,2.249360,-0.974881,0.000025,0.215280,0.430867,0.370175,-6.136867
190,6,3,0,planar,202,1.314311,-0.632733,-2.317688,3.239643,-1.449957,0.085258,0.058761,0.533116,0.313068,-6.325710
191,6,-11,2,planar,24,-1.786858,0.695693,-2.135521,3.012384,-0.087548,0.028545,0.081481,0.253732,0.394833,-6.326617
192,3,8,-2,linear,25,-7.509185,1.588044,-0.294228,1.799977,1.683807,0.000375,0.333333,0.033577,0.767173,-6.331541
193,-8,-4,8,planar,28,-6.112316,0.833964,-1.526285,2.241693,2.668869,0.111113,0.666667,0.089068,1.283336,-6.377461
194,1,3,-2,planar,331,1.485330,0.033032,-2.646271,3.749342,-1.526403,0.000039,0.263063,0.641013,0.422756,-6.403654
195,3,6,-2,planar,50,-2.009707,0.232968,-1.556357,2.248863,-0.876170,0.012840,0.159294,0.366430,0.325891,-6.458130
196,1,7,-2,linear,47,-5.010357,1.129831,-0.278028,1.799961,-0.501601,0.020591,0.131052,0.235330,0.305289,-6.460116
197,6,1,1,planar,266,1.120655,-0.059121,-2.354603,3.523528,-1.648195,0.005968,0.137710,0.578577,0.292872,-6.464792
198,0,-3,-2,planar,923,1.573645,0.127656,-2.677335,3.748654,-1.745225,0.000081,0.192569,0.648737,0.345268,-6.469912
199,6,8,1,planar,65,-0.935816,-0.148039,-1.971221,2.349618,-1.111302,0.067039,0.103800,0.448105,0.338016,-6.515996
