rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,-2,8,-1,volumetric,volumetric,95,2.663713,0.227480,0.704145,0.333052,3.700354,0.000000,0.515703,0.787709,0.114772,1.829346,3,0.657634,0.675225,0.882166,6.962640
1,-3,8,-1,corner_like,corner_like,57,2.866183,0.210969,1.175201,0.101497,2.618991,0.000000,0.562943,0.487179,0.101237,1.429204,2,0.648840,0.317183,0.554262,6.769848
2,-2,7,-1,corner_like,corner_like,96,2.290247,-0.083618,1.153960,0.180348,2.766900,0.000000,0.565354,0.545638,0.107694,1.496763,1,0.689931,0.000000,0.548072,5.947141
3,-2,8,0,corner_like,corner_like,49,1.607430,-0.401236,0.887812,0.469838,3.933388,0.000000,0.534060,0.815261,0.085446,1.884434,3,0.677131,0.734005,0.964498,5.557556
4,4,6,3,corner_like,corner_like,64,-0.102694,0.029578,0.979858,0.228241,4.807887,0.000000,0.689297,0.905512,0.053943,2.193281,2,0.337315,0.191212,0.433506,5.486388
5,2,7,-2,corner_like,corner_like,132,0.552474,-0.249911,1.149824,0.161734,3.882004,0.000000,0.733437,0.690973,0.062110,1.883545,2,0.730728,0.299513,0.584589,5.172658
6,4,-13,6,corner_like,corner_like,38,1.531916,-0.409839,0.738552,0.148372,2.753531,0.000000,0.120457,0.666667,0.072722,1.295951,1,0.945864,0.000000,0.432925,4.465789
7,-1,8,0,volumetric,volumetric,120,1.502082,-0.304037,0.546106,0.435989,2.489882,0.000000,0.055286,0.666667,0.086167,1.207970,2,0.666959,0.347743,0.545907,3.798044
8,6,2,2,planar,planar,191,2.243274,-0.179364,-1.379683,1.686922,4.778922,0.000000,0.487507,1.000000,0.074281,2.158134,3,0.444204,0.694646,0.787723,3.776227
9,7,3,-4,corner_like,corner_like,64,1.726225,-0.514835,0.652512,0.303784,1.562535,0.000000,0.357188,0.499805,0.223315,1.165323,2,0.977410,0.301029,0.504426,3.122653
10,1,8,-2,corner_like,corner_like,115,2.207903,-0.237475,0.318667,0.365137,1.159940,0.000000,0.284532,0.546213,0.311008,1.118286,2,0.751652,0.302138,0.519426,3.083898
11,-1,8,-1,corner_like,corner_like,122,-0.509280,-0.381531,0.959279,0.219023,3.092101,0.000000,0.317153,0.830228,0.131718,1.608074,2,0.664460,0.352525,0.675935,2.941546
12,8,1,5,planar,planar,51,2.084794,-0.392968,-1.484519,1.550479,4.234920,0.000000,0.352919,1.000000,0.101902,1.976441,2,0.476393,0.338388,0.571951,2.891746
13,6,3,2,linear,linear,33,1.049840,-0.345584,-0.176956,1.599731,3.723671,0.000000,0.428226,0.889374,0.102781,1.823084,1,0.411514,0.000000,0.463177,2.651240
14,-6,0,5,corner_like,corner_like,33,-0.347042,0.225307,0.750591,0.611195,2.371629,0.000000,0.377515,0.415771,0.103853,1.233660,4,0.410138,0.726411,0.738692,2.389290
15,10,-1,2,linear,linear,42,-0.862081,0.289011,-0.320301,1.792991,4.992317,0.000000,0.950006,0.333333,0.001729,2.049174,3,0.536900,0.795151,0.796241,2.305955
16,6,-11,6,planar,planar,41,2.169936,-0.008375,-1.734726,2.092397,3.966609,0.000000,0.294191,1.000000,0.123473,1.897158,3,0.459513,0.514406,0.516230,2.301047
17,6,5,2,planar,planar,192,2.366335,0.027872,-1.466380,1.168230,2.336538,0.000000,0.199279,0.824837,0.237230,1.443014,1,0.420755,0.000000,0.402430,2.096136
18,-2,8,4,corner_like,corner_like,84,-0.351853,-0.185446,0.443598,0.413864,2.296795,0.000000,0.348840,0.471976,0.144659,1.256774,2,0.616280,0.335684,0.549833,1.789230
19,10,-1,1,linear,linear,18,1.196679,-0.450069,-0.288159,1.796357,2.763792,0.000000,0.624341,0.141243,0.045675,1.264895,4,0.577910,0.684157,0.663676,1.425885
20,1,9,4,linear,linear,29,0.331185,-0.077324,-0.616192,1.725627,3.412464,0.000000,0.305969,0.666667,0.062620,1.546392,1,0.470659,0.000000,0.428951,1.324507
21,-1,8,4,planar,planar,52,1.875474,-0.386018,-1.994503,2.628691,4.198487,0.000000,0.539422,0.666667,0.063199,1.861554,2,0.541074,0.304039,0.551122,1.064748
