rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,0,-9,3,corner_like,112,2.899168,0.577703,1.290453,0.236981,4.530342
1,5,6,1,corner_like,128,2.645859,0.437055,1.308508,0.176641,4.214781
2,5,2,-1,corner_like,333,2.894740,0.579214,1.077849,0.347208,4.204595
3,5,7,1,corner_like,78,2.778264,0.553138,1.107787,0.365189,4.073999
4,1,-9,3,corner_like,87,2.745596,0.423514,1.208350,0.309604,4.067856
5,3,-2,-1,corner_like,267,2.320750,0.126184,1.650122,0.070781,4.026274
6,5,11,0,volumetric,44,2.736086,0.336319,1.018544,0.114488,3.976460
7,5,-2,1,corner_like,379,2.481125,0.420285,1.114360,0.328464,3.687307
8,5,1,1,corner_like,380,2.662189,0.504248,0.876361,0.443118,3.599679
9,2,6,3,corner_like,87,2.392855,0.248510,1.048281,0.359156,3.330491
10,-3,9,6,corner_like,50,1.696705,0.031377,1.602816,0.076064,3.254835
11,2,-5,3,corner_like,125,2.272443,0.180711,1.090005,0.339139,3.204021
12,3,-7,3,corner_like,60,1.811204,-0.019370,1.682627,0.290727,3.183733
13,3,-1,-1,corner_like,291,1.580807,-0.036328,1.711544,0.151297,3.104726
14,-1,-9,3,corner_like,79,1.812815,-0.254844,1.759049,0.257940,3.059080
15,3,-3,-1,corner_like,171,0.510717,-0.216728,1.990577,0.062981,2.221585
16,5,-3,1,corner_like,324,0.944346,-0.146516,1.325657,0.202319,1.921168
17,5,-3,-1,corner_like,190,0.258112,-0.235983,1.664670,0.149192,1.537608
18,5,-1,1,corner_like,189,0.062060,-0.267358,1.727428,0.144010,1.378120
19,2,-9,3,planar,51,2.834688,0.665287,-1.908274,0.575372,1.016328
20,-3,-9,3,corner_like,66,-0.173748,-0.193980,1.535176,0.156252,1.011196
21,5,-2,2,corner_like,262,0.196598,-0.116671,0.969459,0.418690,0.630696
22,5,-11,1,corner_like,38,-1.037092,0.009889,1.697724,0.119422,0.551098
23,1,-7,3,planar,130,2.703398,0.423063,-1.932256,0.836999,0.357205
24,5,-2,-1,corner_like,100,-1.335797,-0.048084,1.839808,0.135693,0.320233
25,5,3,1,planar,258,2.804962,0.366002,-2.008595,0.884244,0.278125
26,5,4,-1,planar,211,2.875713,0.589630,-2.191331,1.029135,0.244877
27,1,6,3,planar,75,2.687235,0.439293,-1.984188,0.924031,0.218309
28,5,10,-1,planar,52,2.345657,0.176934,-1.716077,0.616062,0.190453
29,0,-7,3,planar,163,2.749215,0.435585,-2.048878,0.984593,0.151330
30,2,-7,3,planar,108,2.394989,0.095344,-1.795524,0.658586,0.036222
31,-4,6,-2,linear,37,1.362297,0.132349,-0.591185,0.899989,0.003472
32,1,-5,3,planar,145,2.747739,0.455436,-2.185576,1.030964,-0.013365
33,5,4,1,planar,194,2.385221,0.206367,-2.042873,0.627209,-0.078494
34,5,-2,0,planar,312,2.517412,0.327170,-2.138081,0.935924,-0.229423
35,5,-7,-1,planar,140,2.830461,0.572772,-2.263931,1.374061,-0.234759
36,-4,5,-2,linear,54,1.520550,-0.114713,-0.743392,0.898707,-0.236262
37,1,7,3,planar,44,2.346416,0.200662,-1.856164,1.065725,-0.374811
38,4,-6,-1,corner_like,122,-2.164786,-0.039092,1.882984,0.076894,-0.397789
39,3,4,3,planar,121,1.968160,0.192602,-1.994629,0.667039,-0.500907
40,5,-6,-1,planar,179,2.670266,0.363460,-2.311427,1.245273,-0.522975
41,3,-4,3,corner_like,89,-2.191902,0.173248,1.729732,0.260218,-0.549141
42,4,9,3,linear,25,1.106877,-0.167460,-0.596860,0.896040,-0.553483
43,-2,-9,3,planar,55,2.072947,0.155816,-1.996843,0.786944,-0.555024
44,5,0,0,planar,308,2.262725,0.202832,-2.058738,0.963829,-0.557011
45,5,2,1,planar,327,2.798840,0.262577,-2.286145,1.384651,-0.609379
46,-6,-5,-2,linear,33,0.918487,-0.056673,-0.640607,0.899312,-0.678105
47,1,-4,3,planar,260,2.421450,0.323597,-2.227452,1.229786,-0.712190
48,5,-5,1,planar,167,2.031017,0.168782,-2.036608,0.894112,-0.730921
49,-2,9,6,planar,47,1.968133,-0.005658,-2.010548,0.864466,-0.912539
50,-1,9,6,planar,61,2.164203,0.220953,-2.203546,1.121505,-0.939895
51,5,-5,0,planar,164,2.315172,0.260344,-2.251410,1.305662,-0.981556
52,-3,-7,6,planar,42,1.956606,-0.040054,-1.955554,1.019280,-1.058282
53,5,5,1,planar,146,2.754889,0.418154,-2.523511,1.715047,-1.065515
54,-4,9,6,planar,30,1.912370,-0.226366,-1.851470,0.942947,-1.108413
55,5,3,-1,planar,263,2.448953,0.207853,-2.401767,1.418595,-1.163556
56,1,3,3,planar,239,2.597182,0.460293,-2.517477,1.728433,-1.188435
57,5,9,-1,planar,77,1.946763,-0.038659,-2.102977,1.003371,-1.198245
58,1,5,3,planar,93,2.189792,0.275582,-2.296359,1.367820,-1.198805
59,5,-14,0,planar,21,1.661990,0.199084,-1.981411,1.119224,-1.239562
60,3,3,3,planar,113,1.333037,0.036852,-1.934071,0.687515,-1.251697
61,5,-7,0,planar,128,2.373197,0.320222,-2.369086,1.632623,-1.308291
62,-5,-5,-2,planar,67,1.699204,0.256405,-2.145469,1.123903,-1.313763
63,2,4,3,planar,160,2.325464,0.315066,-2.398261,1.586081,-1.343812
64,5,1,0,planar,395,2.411335,0.310203,-2.527912,1.593774,-1.400148
65,5,8,1,planar,54,2.573304,0.039634,-2.391405,1.652528,-1.430996
66,5,5,-1,planar,156,2.224335,0.124923,-2.323789,1.487025,-1.461555
67,3,0,3,planar,106,1.580836,0.063562,-2.079641,1.041564,-1.476808
