vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
-28,-9,1,-22.000000,-6.800000,1.200000,15,planar,0.110476,0.044990,0.000077,0.592765,0.406535,0.000700,0.999300,0.007269,1.904953,122.912754,0.376629,-121.007801,0.470689,6.317465,1.450324,5.846776
-28,-8,1,-22.000000,-6.000000,1.200000,16,planar,0.097585,0.052168,0.000097,0.465408,0.533601,0.000991,0.999009,0.007895,1.930501,118.558783,0.364313,-116.628282,0.402652,6.433768,1.394586,6.031115
-14,-6,10,-10.800000,-4.400000,8.400000,17,linear,0.128658,0.025513,0.000147,0.801697,0.197159,0.001144,0.998856,0.007847,1.960353,6.172370,0.356844,-4.212017,0.348002,1.161476,1.226589,0.813474
-14,5,10,-10.800000,4.400000,8.400000,18,planar,0.081595,0.062417,0.000299,0.235031,0.761307,0.003662,0.996338,0.011503,2.079852,1.415812,0.338294,0.664040,0.329131,0.219342,1.151861,-0.109789
-13,-9,10,-10.000000,-6.800000,8.400000,16,linear,0.082110,0.002436,0.000002,0.970337,0.029643,0.000020,0.999980,0.000687,1.592355,22.591451,0.260059,-20.999096,0.261954,2.404025,1.041810,2.142071
-13,-8,10,-10.000000,-6.000000,8.400000,19,planar,0.086480,0.027236,0.000109,0.685057,0.313683,0.001260,0.998740,0.006355,1.943446,6.007237,0.314027,-4.063791,0.397773,0.738790,1.318294,0.341017
-13,-7,10,-10.000000,-5.200000,8.400000,23,planar,0.056572,0.038466,0.000585,0.320039,0.669626,0.010335,0.989665,0.010836,2.225112,2.988210,0.268193,-0.763097,0.519933,0.614669,1.330610,0.094736
-13,-6,10,-10.000000,-4.400000,8.400000,18,planar,0.031381,0.017689,0.000131,0.436312,0.559499,0.004189,0.995811,0.004179,1.918908,12.309323,0.180022,-10.390415,0.686580,3.597223,1.463359,2.910644
-13,4,10,-10.000000,3.600000,8.400000,20,planar,0.059793,0.022833,0.000146,0.618142,0.379416,0.002442,0.997558,0.005842,1.965550,4.663082,0.245615,-2.697533,0.424217,0.670129,0.975520,0.245912
-13,5,10,-10.000000,4.400000,8.400000,23,planar,0.083662,0.052350,0.001000,0.374263,0.613781,0.011956,0.988044,0.016363,2.362146,0.826810,0.347081,1.535336,0.732212,0.028530,1.710582,-0.703682
