rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
0,6,13,0,volumetric,36,2.835336,0.329004,1.318980,0.132549,2.294044,0.520785,0.736434,0.064483,1.779804,6.644815
1,4,-3,-1,volumetric,193,2.785246,0.287700,1.350097,0.199947,1.680534,0.362529,0.513761,0.065644,1.321218,5.903629
2,6,14,1,corner_like,26,2.641705,-0.082174,0.776490,0.270888,2.267820,0.257801,0.666667,0.065514,1.481365,5.332952
3,4,-1,-1,corner_like,310,2.601651,0.051998,0.912959,0.196657,1.355198,0.635071,0.392982,0.058838,1.556293,4.725148
4,1,-1,-2,corner_like,1646,1.960966,-0.324566,1.019528,0.217410,2.092469,0.397907,0.679092,0.108368,1.550843,4.530987
5,4,-2,-1,volumetric,168,2.395232,0.131032,1.083355,0.486083,1.289798,0.329043,0.477535,0.190089,1.102830,4.413335
6,6,12,-1,corner_like,35,2.575320,-0.056109,0.092861,0.560220,2.349624,0.298088,0.822917,0.246731,1.574294,4.401476
7,6,2,2,corner_like,161,2.762012,0.246134,0.644436,0.354662,0.972214,0.022491,0.435669,0.392541,0.642931,4.270134
8,6,-2,-1,corner_like,68,0.446755,0.048354,0.745707,0.275631,3.215575,0.731711,1.000000,0.034425,2.487809,4.180760
9,6,3,2,corner_like,154,2.653074,0.183945,0.619811,0.351833,1.067006,0.027247,0.469982,0.392113,0.687098,4.172003
10,6,5,2,volumetric,58,2.172327,-0.256479,1.019555,0.179061,1.039404,0.113634,0.382525,0.179207,0.707518,3.795747
11,6,0,2,corner_like,147,2.253954,-0.006639,0.599817,0.221404,1.100622,0.084623,0.468237,0.353696,0.762635,3.726351
12,6,-2,0,corner_like,160,2.104318,-0.215324,0.721290,0.198831,1.194983,0.452482,0.435880,0.170354,1.223652,3.606437
13,6,-3,2,corner_like,169,2.290833,0.011684,0.399856,0.320815,1.148853,0.015238,0.512172,0.426286,0.717294,3.530412
14,6,-4,2,corner_like,123,2.416321,-0.096328,0.227355,0.410627,1.311337,0.030699,0.585260,0.464794,0.818563,3.448059
15,6,6,2,corner_like,60,2.121384,-0.056270,0.398543,0.344801,1.326393,0.349893,0.415771,0.150310,1.196370,3.445249
16,6,-1,2,corner_like,141,2.038183,-0.012670,0.451247,0.292924,0.996577,0.022045,0.451375,0.411371,0.659607,3.180412
17,6,7,2,volumetric,35,1.004453,-0.146068,1.115927,0.231046,1.435088,0.843240,0.408163,0.020695,1.854020,3.178353
18,6,8,2,corner_like,38,1.648937,-0.752185,0.795565,0.191866,1.663346,0.685026,0.503876,0.055647,1.745716,3.163797
19,6,-2,1,corner_like,275,2.879421,0.398547,0.191258,0.593394,0.122346,0.090424,0.133429,0.411250,0.402177,2.998178
20,6,1,2,corner_like,206,2.683688,0.253136,-0.058263,0.687923,0.800633,0.136576,0.406616,0.484227,0.764988,2.991272
21,6,-2,2,volumetric,201,2.289798,-0.178990,0.365272,0.446159,0.899760,0.024826,0.418526,0.417852,0.627226,2.929680
22,6,4,2,corner_like,149,2.083900,-0.048805,0.259120,0.372733,0.478229,0.033789,0.257901,0.397665,0.462639,2.399711
23,6,-3,1,corner_like,276,2.803596,0.081246,0.006749,0.628945,0.092434,0.036439,0.137007,0.451003,0.333233,2.355080
24,6,3,-1,corner_like,213,2.185997,0.023122,0.050975,0.584978,0.364189,0.345125,0.181878,0.302643,0.799318,2.039306
25,6,-3,0,corner_like,288,2.441887,-0.182950,-0.023707,0.632977,0.045307,0.119043,0.106960,0.415498,0.411697,1.647561
26,6,-2,3,corner_like,197,1.951188,-0.028907,0.074435,0.627716,0.254215,0.073114,0.190385,0.436010,0.441461,1.623216
27,6,4,-1,corner_like,204,2.253878,0.025324,-0.299895,0.840997,0.374279,0.281881,0.218245,0.392561,0.753941,1.512589
28,1,-8,4,corner_like,121,0.628149,-0.365476,0.476004,0.234054,0.757660,0.192415,0.317394,0.281841,0.742227,1.262283
29,6,2,-1,corner_like,272,2.439848,-0.310652,-0.280448,0.826474,0.237588,0.151851,0.194110,0.462882,0.551853,1.259861
30,6,-7,2,corner_like,57,-0.202495,-0.187491,0.702017,0.265448,1.164366,0.063252,0.368932,0.183530,0.757882,1.210950
31,12,-1,-1,linear,24,-0.757915,0.631967,-0.286426,1.733605,3.152519,0.052907,1.000000,0.097481,1.571425,1.006540
32,2,7,-2,linear,44,1.891897,0.355112,-0.622416,1.798878,1.131197,0.017058,0.364341,0.204074,0.690470,0.956912
33,6,-9,1,corner_like,50,0.300576,-0.411111,0.394234,0.308721,0.762441,0.478817,0.286430,0.191907,1.094809,0.737419
34,3,15,3,linear,33,2.002997,-0.846830,-0.362533,1.527343,1.436773,0.325871,0.444444,0.118782,1.195482,0.703064
35,-8,-8,8,planar,24,2.467679,-0.343175,-1.338246,1.381321,1.240485,0.045090,0.406926,0.211896,0.775157,0.645422
36,1,0,-2,planar,1343,2.107231,-0.464994,-1.333359,1.711814,2.040363,0.277845,0.690190,0.190992,1.400966,0.637426
37,6,5,0,corner_like,115,0.739882,-0.218745,0.333424,0.439406,0.134446,0.063744,0.126158,0.379155,0.358161,0.549601
38,-6,-8,8,planar,59,2.198510,0.112727,-1.848438,2.084665,2.015085,0.200943,0.715152,0.284915,1.324606,0.393219
39,6,-1,1,planar,153,1.625116,-0.173184,-1.208461,1.439198,1.520161,0.201427,0.596363,0.286503,1.061259,0.324435
