vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty,occupied_face_count,occupied_face_ratio,opposite_face_pair_ratio,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus
-10,4,8,-9.500000,4.500000,8.500000,41,planar,0.103746,0.069731,0.000671,0.327874,0.665656,0.006470,0.993530,0.016934,2.319953,3.355142,0.399970,-1.035190,0.404307,0.623818,1.380761,0.219511,3,0.500000,0.333333,0.017526,0.492063,0.325862,0.831596
-10,6,8,-9.500000,6.500000,8.500000,18,linear,0.122395,0.011941,0.000243,0.902438,0.095573,0.001989,0.998011,0.007086,1.993185,8.539283,0.346441,-6.546098,0.530159,2.073406,1.496977,1.543248,2,0.333333,0.000000,0.028725,0.666667,0.073261,1.172112
-10,7,8,-9.500000,7.500000,8.500000,24,planar,0.108249,0.047841,0.000481,0.558043,0.437511,0.004446,0.995554,0.013559,2.199654,2.348527,0.376477,-0.148873,0.568967,0.432990,1.548863,-0.135977,2,0.333333,0.000000,0.017156,0.666667,0.114028,1.156494
-9,-11,8,-8.500000,-10.500000,8.500000,17,linear,0.165501,0.019528,0.000658,0.882006,0.114021,0.003973,0.996027,0.012857,2.204209,8.075364,0.390419,-5.871155,0.884831,1.516995,1.870764,0.632164,2,0.333333,0.333333,0.009490,0.000000,0.139570,0.279479
-9,-8,8,-8.500000,-7.500000,8.500000,30,planar,0.099861,0.064045,0.001020,0.358658,0.631129,0.010213,0.989787,0.018684,2.396978,0.590703,0.380940,1.806275,0.479400,0.073080,1.424618,-0.406319,2,0.333333,0.000000,0.060984,0.666667,0.130261,1.215661
-9,-7,8,-8.500000,-6.500000,8.500000,38,planar,0.109446,0.058700,0.000278,0.463660,0.533797,0.002542,0.997458,0.012137,2.134201,0.815578,0.386595,1.318623,0.380208,0.145019,1.319254,-0.235189,4,0.666667,0.666667,0.028951,0.046474,0.450618,0.223538
-9,-6,8,-8.500000,-5.500000,8.500000,35,planar,0.099501,0.061179,0.000705,0.385146,0.607768,0.007086,0.992914,0.016252,2.319279,0.251828,0.380706,2.067452,0.460955,0.517618,1.446431,0.056663,4,0.666667,0.666667,0.034030,0.107444,0.478200,0.297462
-9,-5,8,-8.500000,-4.500000,8.500000,55,planar,0.084138,0.056991,0.000106,0.322652,0.676084,0.001264,0.998736,0.007989,2.029535,0.313069,0.360261,1.716467,0.370655,0.423654,1.333295,0.052999,4,0.666667,0.666667,0.047423,0.068545,0.501063,0.272755
-9,-4,8,-8.500000,-3.500000,8.500000,30,linear,0.096539,0.019886,0.000101,0.794007,0.204945,0.001049,0.998951,0.005793,1.966011,3.912775,0.308248,-1.946764,0.478250,0.683695,1.293945,0.205445,4,0.666667,0.666667,0.096526,0.050622,0.290826,0.319328
-9,-3,8,-8.500000,-2.500000,8.500000,56,planar,0.113590,0.064439,0.000977,0.432699,0.558703,0.008598,0.991402,0.019264,2.425972,0.263992,0.388533,2.161980,0.554162,0.480289,1.538931,-0.073873,1,0.166667,0.000000,0.050501,0.333333,0.061809,0.834843
-9,1,8,-8.500000,1.500000,8.500000,61,planar,0.075515,0.039316,0.000294,0.479363,0.516743,0.003895,0.996105,0.009558,2.153506,4.893866,0.316679,-2.740360,0.394633,1.204430,1.336049,0.809797,1,0.166667,0.000000,0.010228,0.333333,0.062106,0.780474
-9,2,8,-8.500000,2.500000,8.500000,61,planar,0.111485,0.070633,0.000525,0.366432,0.628859,0.004709,0.995291,0.016050,2.283364,3.378024,0.401604,-1.094661,0.316582,0.438428,1.268587,0.121846,4,0.666667,0.666667,0.089271,0.024691,0.459682,0.281009
-9,3,8,-8.500000,3.500000,8.500000,61,planar,0.118346,0.060081,0.001207,0.492326,0.497479,0.010195,0.989805,0.020471,2.480710,2.210256,0.390726,0.270454,0.494385,0.267244,1.422528,-0.227141,4,0.666667,0.666667,0.009224,0.047755,0.442410,0.198316
