vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
0,7,6,0.600000,9.000000,7.800000,115,planar,0.161876,0.111281,0.000948,0.312557,0.681589,0.005855,0.994145,0.025749,2.450052,151.516546,0.490037,-149.066494,0.316697,8.810592,1.220946,8.493895
0,8,6,0.600000,10.200000,7.800000,60,planar,0.112994,0.068964,0.000163,0.389668,0.608892,0.001440,0.998560,0.010824,2.081605,228.129748,0.405912,-226.048143,0.289774,9.437741,1.264610,9.147967
0,9,3,0.600000,11.400000,4.200000,71,planar,0.137091,0.089122,0.006365,0.349902,0.603669,0.046429,0.953571,0.042684,2.805802,10.505745,0.453740,-7.699942,0.301502,0.807014,1.144407,0.505513
0,9,5,0.600000,11.400000,6.600000,43,planar,0.125000,0.031407,0.003510,0.748747,0.223177,0.028077,0.971923,0.023973,2.675748,6.612802,0.362057,-3.937055,0.385382,0.709987,1.188435,0.324604
0,9,6,0.600000,11.400000,7.800000,57,planar,0.169052,0.135337,0.007700,0.199432,0.755019,0.045549,0.954451,0.056059,2.821460,1.236267,0.517126,1.585193,0.294388,0.279021,1.136135,-0.015367
0,11,3,0.600000,13.800000,4.200000,22,linear,0.131156,0.003459,0.000001,0.973627,0.026369,0.000004,0.999996,0.000625,1.688309,21.524008,0.323145,-19.835699,0.342575,1.952795,1.017905,1.610220
0,12,3,0.600000,15.000000,4.200000,25,planar,0.110707,0.028671,0.000424,0.741016,0.255156,0.003827,0.996173,0.011038,2.164755,52.368502,0.334732,-50.203747,0.392163,4.613586,1.131021,4.221423
0,15,-1,0.600000,18.600000,-0.600000,61,planar,0.139951,0.111982,0.000263,0.199851,0.798269,0.001880,0.998120,0.016035,2.156393,33.236914,0.467395,-31.080521,0.328777,3.104033,1.108057,2.775255
0,15,0,0.600000,18.600000,0.600000,40,planar,0.108535,0.043674,0.000959,0.597609,0.393558,0.008832,0.991168,0.016563,2.396473,25.951600,0.367038,-23.555127,0.449317,2.718496,1.449317,2.269179
0,15,1,0.600000,18.600000,1.800000,56,planar,0.138420,0.093660,0.000254,0.323361,0.674807,0.001831,0.998169,0.014868,2.145497,43.322563,0.447637,-41.177065,0.337152,3.739207,1.084136,3.402055
