rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,11,0,volumetric,44,2.736086,0.336319,0.936903,0.228977,3.780331
1,0,-9,3,corner_like,112,2.899168,0.577703,0.134083,0.473963,3.136990
2,3,-2,-1,corner_like,267,2.320750,0.126184,0.639338,0.141562,2.944709
3,5,6,1,corner_like,128,2.645859,0.437055,0.154243,0.353282,2.883875
4,5,2,-1,corner_like,333,2.894740,0.579214,-0.167293,0.694416,2.612246
5,1,-9,3,corner_like,87,2.745596,0.423514,0.018623,0.619208,2.568525
6,5,7,1,corner_like,78,2.778264,0.553138,-0.127324,0.730378,2.473700
7,-3,9,6,corner_like,50,1.696705,0.031377,0.571306,0.152128,2.147261
8,5,-2,1,corner_like,379,2.481125,0.420285,-0.113593,0.656927,2.130890
9,3,-1,-1,corner_like,291,1.580807,-0.036328,0.718181,0.302593,1.960067
10,3,-7,3,corner_like,60,1.811204,-0.019370,0.668454,0.581454,1.878834
11,5,1,1,corner_like,380,2.662189,0.504248,-0.453391,0.886237,1.826809
12,-1,-9,3,corner_like,79,1.812815,-0.254844,0.778294,0.515880,1.820386
13,2,6,3,corner_like,87,2.392855,0.248510,-0.209301,0.718312,1.713753
14,2,-5,3,corner_like,125,2.272443,0.180711,-0.154130,0.678279,1.620746
15,3,-3,-1,corner_like,171,0.510717,-0.216728,1.126980,0.125961,1.295007
16,2,-9,3,planar,51,2.834688,0.665287,-1.554778,1.150744,0.794453
17,5,-3,1,corner_like,324,0.944346,-0.146516,0.184415,0.404638,0.577606
18,5,-3,-1,corner_like,190,0.258112,-0.235983,0.651693,0.298383,0.375440
19,5,-1,1,corner_like,189,0.062060,-0.267358,0.743153,0.288021,0.249834
20,5,10,-1,planar,52,2.345657,0.176934,-1.289548,1.232124,0.000920
21,1,-7,3,planar,130,2.703398,0.423063,-1.594161,1.673998,-0.141698
22,-3,-9,3,corner_like,66,-0.173748,-0.193980,0.483846,0.312504,-0.196386
23,2,-7,3,planar,108,2.394989,0.095344,-1.399687,1.317172,-0.226526
24,5,3,1,planar,258,2.804962,0.366002,-1.703653,1.768488,-0.301177
25,1,6,3,planar,75,2.687235,0.439293,-1.671703,1.848062,-0.393237
26,5,4,1,planar,194,2.385221,0.206367,-1.743930,1.254417,-0.406760
27,0,-7,3,planar,163,2.749215,0.435585,-1.760770,1.969185,-0.545156
28,5,4,-1,planar,211,2.875713,0.589630,-1.953956,2.058271,-0.546883
29,5,-11,1,corner_like,38,-1.037092,0.009889,0.704739,0.238844,-0.561309
30,-4,6,-2,linear,37,1.362297,0.132349,-0.377658,1.799978,-0.682989
31,5,-2,-1,corner_like,100,-1.335797,-0.048084,0.899689,0.271386,-0.755578
32,1,-5,3,planar,145,2.747739,0.455436,-1.946536,2.061928,-0.805289
33,3,4,3,planar,121,1.968160,0.192602,-1.679182,1.334079,-0.852499
34,5,-2,0,planar,312,2.517412,0.327170,-1.875597,1.871848,-0.902864
35,-4,5,-2,linear,54,1.520550,-0.114713,-0.590620,1.797414,-0.982197
36,-2,-9,3,planar,55,2.072947,0.155816,-1.684822,1.573888,-1.029947
37,1,7,3,planar,44,2.346416,0.200662,-1.496071,2.131450,-1.080442
38,5,-2,2,corner_like,262,0.196598,-0.116671,-0.323015,0.837379,-1.080467
39,4,9,3,linear,25,1.106877,-0.167460,-0.385208,1.792081,-1.237872
40,5,0,0,planar,308,2.262725,0.202832,-1.775794,1.927658,-1.237896
41,5,-5,1,planar,167,2.031017,0.168782,-1.742038,1.788224,-1.330464
42,-6,-5,-2,linear,33,0.918487,-0.056673,-0.446781,1.798623,-1.383590
43,4,-6,-1,corner_like,122,-2.164786,-0.039092,0.963531,0.153788,-1.394135
44,5,-7,-1,planar,140,2.830461,0.572772,-2.059879,2.748123,-1.404768
45,-2,9,6,planar,47,1.968133,-0.005658,-1.706387,1.728932,-1.472843
46,5,-6,-1,planar,179,2.670266,0.363460,-2.120886,2.490546,-1.577706
47,3,3,3,planar,113,1.333037,0.036852,-1.594180,1.375029,-1.599321
48,-4,9,6,planar,30,1.912370,-0.226366,-1.488221,1.885894,-1.688110
49,1,-4,3,planar,260,2.421450,0.323597,-2.012518,2.459571,-1.727043
50,-3,-7,6,planar,42,1.956606,-0.040054,-1.635236,2.038560,-1.757244
51,5,2,1,planar,327,2.798840,0.262577,-2.089451,2.769302,-1.797337
52,3,-4,3,corner_like,89,-2.191902,0.173248,0.736697,0.520436,-1.802394
53,-1,9,6,planar,61,2.164203,0.220953,-1.977380,2.243009,-1.835233
54,5,9,-1,planar,77,1.946763,-0.038659,-1.839340,2.006743,-1.937978
55,3,5,3,planar,47,0.670281,0.102822,-1.437860,1.296630,-1.961387
56,5,-14,0,planar,21,1.661990,0.199084,-1.673513,2.238448,-2.050888
57,5,-5,0,planar,164,2.315172,0.260344,-2.046644,2.611324,-2.082452
58,3,-5,3,planar,82,1.366751,-0.167800,-1.541973,1.783666,-2.126687
59,5,-9,1,planar,40,0.706628,0.049187,-1.238958,1.690537,-2.173681
60,-5,-5,-2,planar,67,1.699204,0.256405,-1.903569,2.247805,-2.195766
61,2,-11,3,planar,35,1.709205,-0.278094,-1.423877,2.224344,-2.217110
62,3,0,3,planar,106,1.580836,0.063562,-1.808549,2.083129,-2.247281
63,4,-11,3,planar,31,1.422397,0.068145,-1.669435,2.135627,-2.314519
64,1,-11,3,planar,46,1.609738,-0.123186,-1.594344,2.215343,-2.323135
65,1,5,3,planar,93,2.189792,0.275582,-2.112504,2.735640,-2.382771
66,5,-8,1,linear,29,-0.442449,0.284408,-0.495424,1.762556,-2.416021
67,5,3,-1,planar,263,2.448953,0.207853,-2.249675,2.837190,-2.430059
68,1,4,3,planar,182,1.253034,-0.201412,-1.786685,1.774629,-2.509692
69,4,12,0,linear,36,-0.469869,0.004727,-0.493253,1.574288,-2.532683
70,3,2,3,planar,138,-1.185070,1.093860,-1.166906,1.385749,-2.643865
71,5,5,1,planar,146,2.754889,0.418154,-2.427907,3.430095,-2.684959
72,2,8,3,planar,20,2.144690,0.022945,-2.119192,2.772159,-2.723716
73,5,5,-1,planar,156,2.224335,0.124923,-2.144018,2.974049,-2.768809
74,5,-7,0,planar,128,2.373197,0.320222,-2.209635,3.265246,-2.781463
75,2,4,3,planar,160,2.325464,0.315066,-2.249845,3.172162,-2.781477
76,5,-5,-1,planar,141,1.186645,-0.335274,-1.787553,1.850293,-2.786475
77,1,3,3,planar,239,2.597182,0.460293,-2.419795,3.456867,-2.819186
78,-1,-7,3,linear,75,-0.930303,-0.073017,-0.353944,1.497492,-2.854757
79,5,1,0,planar,395,2.411335,0.310203,-2.429121,3.187547,-2.895131
80,-4,3,-2,planar,136,1.876783,0.459194,-2.197333,3.057193,-2.918550
81,5,8,1,planar,54,2.573304,0.039634,-2.240516,3.305057,-2.932636
82,-2,-11,3,planar,45,-0.469550,0.091392,-1.215880,1.338880,-2.932918
83,-5,-6,-2,linear,35,-0.616370,-0.199351,-0.326075,1.799955,-2.941751
84,-5,-7,6,planar,20,1.040262,-0.288400,-1.540444,2.154911,-2.943493
85,3,1,3,planar,217,0.814862,-0.278901,-1.786767,1.698165,-2.948971
86,-3,5,-2,planar,105,1.064146,0.154198,-1.972245,2.286458,-3.040359
87,3,-2,3,planar,200,0.605513,-0.335424,-1.484357,1.870926,-3.085194
88,5,6,-1,planar,123,1.824357,0.111922,-2.181931,3.085695,-3.331348
89,5,1,-1,planar,391,2.201525,0.233723,-2.490204,3.303415,-3.358372
90,5,5,2,planar,27,0.326411,-0.112165,-1.584214,1.990280,-3.360249
91,-3,-7,3,planar,75,0.987458,-0.211666,-1.920446,2.244742,-3.389396
92,-4,4,-2,planar,106,1.696060,0.397948,-2.252897,3.249171,-3.408060
93,3,-1,3,planar,66,0.519763,-0.158905,-1.634685,2.216763,-3.490591
94,5,9,0,planar,74,0.174305,-0.227601,-1.541785,1.897980,-3.493061
95,5,-7,1,planar,134,1.069148,-0.147565,-2.001698,2.520039,-3.600154
96,-5,-4,-2,planar,95,1.951354,0.614850,-2.529231,3.747956,-3.710983
97,0,9,6,planar,57,1.585193,-0.015367,-2.218799,3.106198,-3.755171
98,3,9,3,linear,37,-1.932718,0.337458,-0.449071,1.758394,-3.802725
99,5,9,2,linear,33,-1.802664,0.361141,-0.626550,1.754366,-3.822438
100,2,-4,3,planar,110,0.440967,0.001730,-1.966530,2.300045,-3.823878
101,5,-6,0,planar,151,1.878777,0.242840,-2.351358,3.603507,-3.833250
102,5,10,0,planar,29,0.754372,0.157976,-2.042468,2.718365,-3.848485
103,1,9,6,linear,38,-2.491197,0.412285,-0.364418,1.413782,-3.857112
104,4,10,-1,planar,67,0.944013,-0.248685,-2.052409,2.505651,-3.862732
105,5,-6,1,planar,143,2.265645,-0.412919,-2.390184,3.327116,-3.864573
106,5,4,0,planar,186,-0.046810,-0.221063,-1.850127,1.760642,-3.878642
107,5,-7,2,linear,57,-2.361466,0.367406,-0.396723,1.489043,-3.879826
108,5,0,1,planar,190,-0.699856,0.029863,-1.233746,1.983540,-3.887279
109,5,-3,0,planar,369,0.600380,-0.183599,-2.057420,2.377884,-4.018522
110,-1,9,5,planar,45,-0.850701,0.513586,-1.576882,2.118099,-4.032096
111,1,8,3,planar,35,0.979936,-0.463900,-2.047675,2.565458,-4.097098
112,5,0,2,planar,268,0.581682,-0.099747,-2.017498,2.607997,-4.143560
113,5,6,0,planar,94,0.996785,-0.226119,-2.104803,2.849969,-4.184105
