rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,6,13,0,volumetric,36,2.835336,0.408165,1.318980,0.132549,4.429931
1,4,-3,-1,volumetric,193,2.785246,0.237170,1.350097,0.199947,4.172565
2,4,-1,-1,corner_like,310,2.601651,0.117529,0.912959,0.196657,3.435481
3,6,2,2,corner_like,161,2.762012,0.285901,0.644436,0.354662,3.337687
4,6,14,1,corner_like,26,2.641705,-0.032470,0.776490,0.270888,3.114836
5,4,-2,-1,volumetric,168,2.395232,0.075938,1.083355,0.486083,3.068442
6,6,3,2,corner_like,154,2.653074,0.080962,0.619811,0.351833,3.002014
7,6,-2,1,corner_like,275,2.879421,0.447541,0.191258,0.593394,2.924826
8,6,5,2,volumetric,58,2.172327,-0.333585,1.019555,0.179061,2.679235
9,6,0,2,corner_like,147,2.253954,-0.020376,0.599817,0.221404,2.611992
10,6,-2,0,corner_like,160,2.104318,-0.092508,0.721290,0.198831,2.534269
11,1,-1,-2,corner_like,1646,1.960966,-0.257331,1.019528,0.217410,2.505753
12,6,-3,1,corner_like,276,2.803596,0.219310,0.006749,0.628945,2.400710
13,6,1,2,corner_like,206,2.683688,0.255562,-0.058263,0.687923,2.193064
14,6,12,-1,corner_like,35,2.575320,0.058144,0.092861,0.560220,2.166105
15,6,-4,2,corner_like,123,2.416321,-0.088261,0.227355,0.410627,2.144788
16,6,6,2,corner_like,60,2.121384,-0.053091,0.398543,0.344801,2.122035
17,6,-1,2,corner_like,141,2.038183,-0.098028,0.451247,0.292924,2.098478
18,6,-2,2,volumetric,201,2.289798,-0.137154,0.365272,0.446159,2.071756
19,6,-3,2,corner_like,169,2.290833,-0.387651,0.399856,0.320815,1.982223
20,6,4,2,corner_like,149,2.083900,-0.093054,0.259120,0.372733,1.877233
21,6,-3,0,corner_like,288,2.441887,-0.031496,-0.023707,0.632977,1.753707
22,6,7,2,volumetric,35,1.004453,-0.193390,1.115927,0.231046,1.695943
23,6,8,2,corner_like,38,1.648937,-0.557379,0.795565,0.191866,1.695257
24,6,3,-1,corner_like,213,2.185997,0.023857,0.050975,0.584978,1.675852
25,6,-2,3,corner_like,197,1.951188,-0.001505,0.074435,0.627716,1.396402
26,6,2,-1,corner_like,272,2.439848,-0.161609,-0.280448,0.826474,1.171317
27,6,4,-1,corner_like,204,2.253878,0.013151,-0.299895,0.840997,1.126137
28,1,-8,4,corner_like,121,0.628149,0.019798,0.476004,0.234054,0.889897
29,6,-2,-1,corner_like,68,0.446755,-0.059571,0.745707,0.275631,0.857259
30,6,-7,2,corner_like,57,-0.202495,0.499459,0.702017,0.265448,0.733533
31,6,5,0,corner_like,115,0.739882,-0.368619,0.333424,0.439406,0.265281
32,6,-9,1,corner_like,50,0.300576,-0.210038,0.394234,0.308721,0.176051
33,2,7,-2,linear,44,1.891897,0.460804,-0.622416,1.798878,-0.068592
34,-6,11,3,linear,33,2.090394,0.112051,-0.566816,1.760825,-0.125195
35,-8,-8,8,planar,24,2.467679,-0.152078,-1.338246,1.381321,-0.403966
36,0,-7,-2,linear,54,1.918047,0.133885,-0.660049,1.797929,-0.406046
37,6,-3,-1,corner_like,184,-0.027718,-0.158817,0.270237,0.569285,-0.485583
38,-7,11,3,linear,24,1.890515,-0.165531,-0.476430,1.787034,-0.538479
