vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
-19,-10,0,-22.200000,-11.400000,0.600000,15,planar,0.106149,0.052934,0.000198,0.501320,0.496812,0.001869,0.998131,0.010368,1.995138,19.578782,0.362798,-17.583644,0.392196,2.351341,1.235180,1.959146
-19,-8,1,-22.200000,-9.000000,1.800000,21,planar,0.113256,0.070441,0.000183,0.378041,0.620342,0.001617,0.998383,0.011346,2.030486,31.870645,0.404243,-29.840159,0.184033,2.951847,1.132536,2.767814
-19,-7,0,-22.200000,-7.800000,0.600000,22,planar,0.128774,0.073714,0.000319,0.427569,0.569951,0.002479,0.997521,0.014472,2.119972,20.796858,0.420652,-18.676887,0.405703,2.388383,1.403035,1.982680
-19,-7,1,-22.200000,-7.800000,1.800000,15,planar,0.143679,0.048716,0.000139,0.660936,0.338098,0.000966,0.999034,0.009903,1.955168,34.059675,0.403214,-32.104507,0.355821,3.034728,1.267053,2.678907
-19,-6,0,-22.200000,-6.600000,0.600000,22,planar,0.148821,0.067374,0.000225,0.547280,0.451211,0.001509,0.998491,0.013107,2.063814,20.648229,0.435308,-18.584415,0.335790,2.221055,1.281925,1.885265
-19,-6,1,-22.200000,-6.600000,1.800000,21,planar,0.131870,0.057057,0.000284,0.567325,0.430518,0.002157,0.997843,0.012887,2.092114,26.903168,0.402124,-24.811054,0.241406,2.735699,1.095978,2.494293
-19,-5,0,-22.200000,-5.400000,0.600000,21,planar,0.119943,0.068060,0.000114,0.432565,0.566488,0.000948,0.999052,0.009753,1.980297,21.392456,0.404682,-19.412159,0.288252,2.120286,1.261116,1.832034
-19,7,0,-22.200000,9.000000,0.600000,15,planar,0.163773,0.048574,0.000390,0.703406,0.294212,0.002382,0.997618,0.014586,2.104083,3.538170,0.427866,-1.434087,0.351838,0.506923,1.296830,0.155085
-19,8,0,-22.200000,10.200000,0.600000,15,planar,0.108768,0.080612,0.000500,0.258861,0.736544,0.004595,0.995405,0.016364,2.157750,3.724536,0.406225,-1.566786,0.510495,0.650452,1.510495,0.139957
-11,-6,7,-12.600000,-6.600000,9.000000,22,planar,0.154947,0.053874,0.000692,0.652309,0.343225,0.004466,0.995534,0.017943,2.275963,172.276669,0.392528,-170.000706,0.879244,9.899472,1.817615,9.020228
-11,-5,7,-12.600000,-5.400000,9.000000,20,planar,0.164406,0.101801,0.000295,0.380796,0.617410,0.001794,0.998206,0.017026,2.101378,162.783005,0.470455,-160.681627,0.393865,8.235084,1.218555,7.841219
-10,-6,7,-11.400000,-6.600000,9.000000,22,planar,0.136373,0.081767,0.002289,0.400415,0.582801,0.016784,0.983216,0.029443,2.554924,65.185897,0.436853,-62.630974,0.558447,8.088393,1.537893,7.529946
